EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1980-1-1,30,22,14,20,17,13,95,86,66,30.02,29.97,29.93,20,19,10,8,3,,0.00,5,,14
1980-1-2,33,26,18,28,24,17,96,88,79,30.01,29.94,29.91,10,8,5,13,5,,0.00,8,Fog-Snow,347
1980-1-3,28,21,14,20,13,9,92,71,47,30.30,30.16,30.04,20,16,10,17,11,,0.00,4,Snow,313
1980-1-4,20,13,6,8,6,4,92,70,55,30.45,30.34,30.24,20,19,15,13,9,,0.08,6,Snow,345
1980-1-5,26,20,12,8,4,-6,80,57,29,30.22,30.03,29.92,,,,20,13,,0.00,6,,8
1980-1-6,21,12,4,8,4,0,96,76,48,30.30,30.22,30.08,,,,15,9,,0.00,2,,7
1980-1-7,34,24,15,26,20,4,89,73,48,30.17,29.87,29.69,20,10,4,30,17,46,0.00,7,Snow,161
1980-1-8,30,24,14,22,14,11,88,67,45,30.27,30.12,29.88,20,15,8,18,11,,0.00,4,Snow,283
1980-1-9,29,20,10,16,13,8,100,73,47,30.40,30.32,30.26,20,15,6,12,6,,0.00,6,Snow,220
1980-1-10,28,21,14,15,10,7,80,61,43,30.68,30.57,30.41,20,16,10,18,9,,0.00,4,Snow,230
1980-1-11,55,41,28,52,33,14,93,76,56,30.50,30.08,29.50,20,11,3,26,18,40,0.04,6,Fog-Rain,156
1980-1-12,55,38,20,53,13,1,93,55,37,30.45,30.02,29.47,20,15,3,30,20,45,0.24,3,Fog-Rain-Snow,287
1980-1-13,31,22,12,15,13,9,95,66,47,30.61,30.50,30.34,,,,20,10,29,0.00,4,,170
1980-1-14,39,34,29,36,28,15,100,78,56,30.35,30.26,30.19,20,7,1,15,11,,0.05,8,Fog-Rain,146
1980-1-15,44,36,27,38,29,19,97,76,47,30.39,30.30,30.22,20,10,6,18,12,29,0.02,5,Fog,4
1980-1-16,37,28,20,18,16,14,81,66,41,30.48,30.41,30.38,20,20,20,16,10,,0.00,1,,1
1980-1-17,42,29,16,26,21,14,92,72,51,30.42,30.32,30.23,20,13,8,14,6,,0.00,7,,162
1980-1-18,42,38,34,30,27,25,70,65,58,30.22,30.13,30.05,10,8,5,14,9,,0.00,8,,187
1980-1-19,39,37,35,30,28,23,76,69,62,30.11,30.06,30.02,20,14,10,25,16,39,0.00,8,,303
1980-1-20,39,32,22,28,15,5,79,51,35,30.11,30.06,30.01,15,12,10,23,14,33,0.00,5,Snow,304
1980-1-21,33,26,20,17,11,4,75,56,31,30.02,29.92,29.87,20,19,15,26,14,39,0.00,2,Snow,295
1980-1-22,32,24,15,28,21,12,88,79,58,29.97,29.77,29.55,20,10,1,20,7,30,0.05,7,Fog-Snow,179
1980-1-23,36,27,17,28,18,3,89,67,44,29.53,29.43,29.34,20,10,3,31,9,32,0.01,7,Fog-Snow,275
1980-1-24,18,12,7,2,0,-3,70,56,44,29.58,29.50,29.42,20,19,7,23,14,36,0.00,3,Snow,279
1980-1-25,24,14,5,7,1,-4,80,55,34,29.77,29.65,29.56,20,20,20,18,9,,0.00,4,,274
1980-1-26,28,21,14,16,11,9,84,64,49,30.13,29.96,29.78,20,19,10,18,12,31,0.00,5,Snow,298
1980-1-27,33,28,23,18,15,13,75,63,48,30.16,30.09,30.02,20,16,15,17,12,,0.00,5,Snow,308
1980-1-28,37,27,17,19,15,14,88,66,39,30.09,30.03,29.99,20,14,6,21,11,31,0.00,5,Snow,292
1980-1-29,28,22,14,14,10,5,74,62,47,30.11,30.08,30.03,20,14,10,20,13,31,0.00,5,,298
1980-1-30,18,12,5,7,-4,-11,70,49,38,30.24,30.20,30.11,20,13,6,23,18,31,0.00,1,,307
1980-1-31,17,10,4,-2,-7,-15,70,48,31,30.18,30.08,29.99,20,20,20,21,11,26,0.00,6,,324
1980-2-1,14,8,3,-3,-8,-13,55,48,41,30.05,30.02,29.97,20,20,20,25,17,38,0.00,7,Snow,313
1980-2-2,16,10,5,-1,-6,-12,54,46,31,30.12,30.07,30.03,20,20,20,29,18,45,0.00,4,,312
1980-2-3,18,14,11,5,0,-7,62,53,41,30.17,30.13,30.08,20,18,10,22,16,32,0.00,7,Snow,318
1980-2-4,22,14,6,7,3,-1,84,61,42,30.24,30.19,30.15,20,19,15,23,11,29,0.00,3,Snow,316
1980-2-5,22,14,5,11,2,-3,77,61,44,30.35,30.29,30.22,20,16,10,17,10,,0.00,4,Snow,320
1980-2-6,27,14,1,11,5,-3,88,69,40,30.37,30.30,30.21,15,13,10,10,4,,0.00,5,,13
1980-2-7,32,24,16,13,11,0,81,62,44,30.27,30.20,30.15,20,15,6,17,10,23,0.00,8,,11
1980-2-8,34,20,7,13,10,6,96,67,39,30.37,30.32,30.28,15,15,15,17,8,20,0.00,2,,341
1980-2-9,31,20,9,15,11,7,92,68,46,30.29,30.17,30.01,,,,13,6,,0.00,5,,323
1980-2-10,33,20,7,13,8,2,96,62,37,30.00,29.92,29.85,20,20,15,15,8,26,0.00,3,,2
1980-2-11,34,20,7,15,8,0,80,61,41,30.01,29.93,29.83,20,20,20,10,4,,0.00,6,,179
1980-2-12,30,23,16,19,15,12,96,68,49,30.14,29.95,29.82,10,8,3,24,8,29,0.00,6,Snow,300
1980-2-13,31,24,14,20,14,10,85,67,45,30.30,30.25,30.16,20,17,8,17,9,,0.00,5,Snow,289
1980-2-14,37,24,11,21,16,10,96,68,41,30.26,30.18,30.08,20,12,10,23,7,46,30.03,5,Snow,264
1980-2-15,29,23,17,13,9,5,84,57,39,30.21,30.10,29.93,20,16,10,23,13,32,0.00,5,,314
1980-2-16,20,14,8,17,15,7,100,91,57,29.91,29.66,29.50,10,5,0,17,8,,0.62,7,Fog-Snow,19
1980-2-17,17,8,-1,5,1,-4,95,73,45,30.00,29.84,29.68,20,14,10,22,11,36,0.00,1,,289
1980-2-18,27,13,-1,9,3,-4,91,67,47,30.21,30.13,30.01,20,20,20,14,8,,0.00,1,,185
1980-2-19,43,30,16,20,14,7,71,56,37,30.21,30.14,30.07,20,16,15,15,11,,0.00,4,,0
1980-2-20,46,30,14,22,18,12,95,63,37,30.08,29.95,29.81,20,12,3,12,3,,0.00,5,,174
1980-2-21,42,35,26,37,27,12,100,68,53,30.17,29.92,29.77,15,9,5,17,11,,0.00,8,,301
1980-2-22,30,23,16,28,14,1,96,75,44,30.19,30.04,29.76,20,10,1,15,11,,0.20,8,Fog-Rain-Snow,62
1980-2-23,36,33,30,31,27,23,96,79,62,29.96,29.85,29.72,15,12,5,23,12,31,0.03,7,Fog-Rain,271
1980-2-24,37,34,30,33,27,17,89,77,52,30.02,29.95,29.90,15,7,2,17,6,,0.03,7,Fog-Snow,202
1980-2-25,39,31,23,27,18,13,96,59,38,30.04,29.94,29.83,20,17,10,16,7,,0.00,5,,316
1980-2-26,25,16,7,15,1,-9,68,54,33,30.13,29.98,29.84,20,17,15,29,17,40,0.00,5,,346
1980-2-27,27,16,5,23,10,-4,92,71,56,30.13,29.83,29.64,20,11,2,20,11,33,0.00,7,Snow,178
1980-2-28,23,16,9,12,6,-2,84,61,44,29.91,29.82,29.70,20,18,10,23,16,32,0.00,2,Snow,299
1980-2-29,12,6,0,-1,-9,-23,70,50,32,30.33,30.11,29.91,20,20,20,25,15,39,0.00,2,,303
1980-3-1,16,8,0,-6,-12,-21,49,40,33,30.48,30.40,30.34,,,,20,16,26,0.00,5,,308
1980-3-2,22,12,1,-5,-10,-15,55,41,23,30.36,30.25,30.13,,,,17,10,,0.00,1,,345
1980-3-3,33,20,6,14,1,-12,61,46,32,30.21,30.09,30.01,6,6,6,14,10,21,0.00,1,,330
1980-3-4,44,31,18,18,10,6,68,46,22,30.02,29.98,29.92,20,20,20,16,6,,0.00,5,,213
1980-3-5,39,34,30,36,28,17,86,76,52,29.96,29.80,29.65,15,7,2,18,8,29,0.05,8,Fog-Rain-Snow,177
1980-3-6,36,30,24,30,14,9,80,53,42,30.26,30.15,29.78,20,14,10,29,17,39,0.00,4,Rain-Snow,306
1980-3-7,48,37,26,27,21,12,73,55,43,30.22,30.12,30.06,15,10,7,15,9,,0.00,8,,201
