EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1980-1-1,42,30,17,18,17,13,92,60,37,30.00,29.94,29.90,15,10,7,0,0,,0.00,2,,-1
1980-1-2,41,32,22,32,23,18,85,64,49,29.94,29.90,29.85,20,13,10,12,2,,0.00,6,,17
1980-1-3,35,28,22,12,10,9,60,49,34,30.25,30.14,30.08,20,16,15,12,7,,0.00,1,,332
1980-1-4,28,20,12,9,5,2,80,47,36,30.40,30.30,30.23,20,14,10,9,5,,0.00,6,,14
1980-1-5,30,27,24,4,1,-3,41,34,25,30.01,29.91,29.82,15,14,10,16,12,,0.00,6,,15
1980-1-6,30,19,6,2,-3,-8,69,42,20,30.28,30.23,30.16,15,14,6,7,3,,0.00,0,,16
1980-1-7,39,30,20,29,25,10,76,65,51,30.08,29.86,29.78,15,9,7,14,7,,0.00,8,Rain,191
1980-1-8,37,28,19,17,13,10,89,50,36,30.28,30.16,30.02,20,16,15,14,8,,0.00,3,,298
1980-1-9,30,22,15,17,13,10,84,65,45,30.38,30.33,30.27,15,15,15,12,3,,0.00,5,,278
1980-1-10,32,23,14,32,7,2,100,49,28,30.68,30.64,30.58,10,10,10,8,3,,0.00,1,,304
1980-1-11,57,42,29,56,38,24,93,83,73,30.44,30.14,29.65,10,6,4,17,3,32,0.00,8,Fog-Rain,180
1980-1-12,57,40,24,21,10,2,61,44,24,30.43,30.12,29.76,10,9,3,17,12,29,0.00,3,Snow,306
1980-1-13,32,24,16,15,8,0,77,47,26,30.65,30.56,30.47,20,14,10,9,2,,0.00,6,,245
1980-1-14,39,34,29,35,27,17,83,73,61,30.36,30.28,30.20,10,6,4,58,9,,0.00,7,,10
1980-1-15,46,42,37,39,31,19,82,63,39,30.25,30.19,30.14,15,11,7,17,13,25,0.00,7,,15
1980-1-16,46,39,31,19,13,10,57,38,24,30.42,30.37,30.32,20,17,10,14,10,23,0.00,0,,11
1980-1-17,39,34,30,26,22,13,73,60,49,30.44,30.35,30.30,15,14,10,17,6,,0.00,6,,27
1980-1-18,42,37,32,31,30,28,89,73,63,30.23,30.12,30.00,10,8,5,0,0,,0.00,6,,-1
1980-1-19,43,40,37,32,27,24,73,59,52,30.06,30.02,29.97,20,16,10,17,12,29,0.00,7,,328
1980-1-20,39,34,27,20,12,6,55,40,29,30.05,30.01,29.97,15,13,10,21,14,29,0.00,3,,324
1980-1-21,35,30,25,17,11,5,63,46,29,29.95,29.89,29.84,20,16,10,17,13,25,0.00,3,,303
1980-1-22,34,26,19,27,23,15,92,76,59,29.95,29.77,29.57,15,7,1,7,2,,0.00,8,Snow,282
1980-1-23,34,28,22,29,19,4,89,69,41,29.46,29.39,29.30,15,8,2,17,3,29,0.00,6,Fog,322
1980-1-24,25,17,9,5,3,-1,73,52,41,29.55,29.48,29.42,15,15,15,17,11,29,0.00,3,,308
1980-1-25,28,22,15,8,4,0,56,45,34,29.81,29.66,29.60,20,16,15,14,7,,0.00,4,,302
1980-1-26,31,26,22,13,10,8,60,49,41,30.09,29.96,29.88,,,,14,9,29,0.00,2,,320
1980-1-27,36,30,24,17,14,12,60,53,41,30.12,30.05,30.00,15,15,15,17,9,23,0.00,2,,317
1980-1-28,34,26,18,16,13,10,78,55,42,30.07,30.01,29.97,15,15,15,16,7,29,0.00,3,,317
1980-1-29,33,28,21,13,10,5,60,50,38,30.17,30.05,30.00,20,16,15,17,9,,0.00,4,,311
1980-1-30,25,18,10,-3,-6,-8,46,34,27,30.14,30.11,30.01,20,18,15,17,13,34,0.00,0,,326
1980-1-31,26,18,10,6,-5,-7,71,38,23,30.04,29.94,29.87,20,14,10,17,7,,0.00,6,,329
1980-2-1,25,17,9,0,-3,-8,48,41,34,29.93,29.87,29.80,15,15,15,17,14,23,0.00,2,,332
1980-2-2,23,16,10,4,-3,-9,73,44,29,29.99,29.97,29.92,,,,17,13,34,0.00,2,,329
1980-2-3,26,20,13,5,2,-4,59,46,37,30.10,30.06,30.02,,,,17,10,23,0.00,2,,329
1980-2-4,32,17,2,6,3,-8,63,45,33,30.16,30.11,30.04,15,15,15,14,6,,0.00,2,,316
1980-2-5,30,16,3,5,4,-3,80,49,35,30.30,30.25,30.19,15,15,15,12,5,,0.00,1,,334
1980-2-6,34,17,0,13,7,-10,70,49,33,30.35,30.28,30.22,15,15,15,16,4,,0.00,5,,23
1980-2-7,33,27,21,14,10,3,58,47,28,30.15,30.11,30.07,15,14,6,17,12,23,0.00,6,,358
1980-2-8,42,32,22,32,7,1,86,42,18,30.29,30.24,30.18,20,17,15,17,8,,0.00,1,,345
