EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2006-1-1,38,33,28,33,28,26,92,84,75,30.19,30.05,29.83,10,9,6,10,3,12,0.00,8,,329
2006-1-2,41,37,33,36,34,31,92,86,79,30.26,30.18,30.02,10,7,5,23,7,28,0.54,6,Rain,80
2006-1-3,38,35,32,35,31,24,96,83,69,30.04,29.94,29.88,10,7,2,25,17,31,0.99,8,Rain-Snow,53
2006-1-4,35,31,26,26,23,18,75,70,64,30.10,29.98,29.82,10,10,9,18,9,23,0.00,2,,39
2006-1-5,47,40,32,38,33,28,96,81,65,29.78,29.70,29.63,10,5,1,13,5,15,0.05,7,Rain,334
2006-1-6,40,34,27,34,24,14,85,69,52,29.79,29.71,29.65,10,10,10,18,9,24,0.00,6,,346
2006-1-7,34,28,22,20,13,10,68,53,38,30.00,29.92,29.81,10,10,10,16,6,20,0.00,2,,289
2006-1-8,44,39,34,32,28,19,82,64,45,30.13,30.05,29.96,10,9,5,16,8,20,T,4,Snow,238
2006-1-9,52,44,36,38,36,30,92,74,56,30.22,30.02,29.91,10,9,4,16,8,21,0.00,1,,274
2006-1-10,48,39,29,33,30,27,85,65,45,30.49,30.42,30.25,10,10,7,13,5,15,0.00,0,,253
2006-1-11,49,40,31,47,40,29,100,90,79,30.42,30.07,29.84,8,3,0,14,4,16,0.22,7,Fog-Rain,137
2006-1-12,51,43,34,45,38,33,100,78,56,30.03,29.96,29.85,10,8,2,17,7,20,0.00,0,,259
2006-1-13,47,38,29,46,37,28,100,93,85,30.03,29.92,29.67,7,2,0,14,4,15,0.02,3,Fog-Rain,110
2006-1-14,56,44,32,54,48,26,100,90,79,29.63,29.28,29.10,10,4,0,37,14,51,1.59,8,Fog-Rain-Snow,111
2006-1-15,32,22,11,27,13,-7,85,60,35,29.77,29.38,29.10,10,4,1,35,21,48,0.20,6,Rain-Snow,351
2006-1-16,29,20,10,10,4,-6,63,51,39,30.01,29.89,29.79,10,10,10,24,12,31,0.00,0,,294
2006-1-17,40,29,18,36,19,9,85,62,39,30.21,30.14,30.02,10,10,10,21,9,25,T,3,Rain,82
2006-1-18,60,48,36,54,42,20,96,72,48,30.06,29.65,29.40,10,6,2,40,20,52,0.86,7,Rain,216
2006-1-19,42,38,33,33,25,18,85,63,41,30.31,30.21,30.00,10,10,10,18,11,28,0.00,0,,258
2006-1-20,50,42,33,37,35,32,92,74,56,30.22,30.15,30.09,10,10,10,14,8,17,0.00,0,,253
2006-1-21,57,45,33,39,31,19,96,70,43,30.39,30.08,29.88,10,10,9,36,9,43,0.00,1,,286
2006-1-22,39,35,30,25,16,10,61,47,32,30.69,30.59,30.42,10,10,10,15,6,17,0.00,1,,18
2006-1-23,40,39,37,37,35,28,92,76,59,30.46,30.07,29.90,10,7,1,18,8,21,0.69,8,Rain-Snow,45
2006-1-24,41,34,27,35,30,26,92,74,55,29.95,29.83,29.60,10,9,3,13,4,15,0.00,2,,185
2006-1-25,45,39,33,36,29,21,92,69,45,29.79,29.60,29.54,10,9,6,23,11,28,0.02,4,Rain,302
2006-1-26,36,30,23,20,15,9,58,51,44,30.41,30.10,29.80,10,10,10,28,15,35,0.00,0,,340
2006-1-27,39,30,21,24,14,7,64,50,36,30.55,30.45,30.35,10,10,10,21,9,24,0.00,0,,293
2006-1-28,55,45,34,31,25,16,76,56,35,30.33,30.18,30.08,10,10,10,17,8,22,0.00,0,,266
2006-1-29,48,40,31,45,37,27,100,82,64,30.12,29.84,29.70,10,6,0,17,5,28,0.33,4,Fog-Rain,145
2006-1-30,49,43,36,44,39,35,100,93,86,29.87,29.80,29.69,10,2,0,18,8,22,0.00,5,Fog,124
