EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1965-1-1,31,26,20,11,5,-4,55,45,35,30.30,30.25,30.18,15,15,15,23,18,,0.00,0,,326
1965-1-2,27,20,14,19,4,-4,85,50,35,30.22,29.96,29.65,15,12,1,9,5,,0.00,0,,323
1965-1-3,30,26,21,18,13,6,85,61,38,29.69,29.63,29.58,15,11,2,30,12,,0.00,0,,330
1965-1-4,38,32,27,5,2,-2,38,30,22,30.11,29.89,29.70,15,15,15,29,20,,0.00,0,,321
1965-1-5,40,32,24,20,15,3,69,52,34,30.11,30.02,29.94,15,12,10,10,5,,0.00,0,,271
1965-1-6,44,36,27,26,17,5,79,50,23,30.16,30.02,29.91,15,12,7,16,5,,0.00,0,,274
1965-1-7,32,22,13,12,9,5,88,57,32,30.40,30.33,30.19,15,13,8,9,3,,0.00,0,,298
1965-1-8,40,34,27,36,30,14,96,79,58,30.36,30.19,29.96,10,6,0,15,5,,0.00,0,,140
1965-1-9,56,46,37,48,33,18,97,67,39,30.18,29.91,29.78,15,9,0,16,6,,0.00,0,,259
1965-1-10,36,30,25,22,17,10,85,62,43,30.37,30.27,30.17,15,10,1,12,7,,0.00,0,,9
1965-1-11,27,22,14,22,17,11,88,75,58,30.25,30.19,30.12,15,12,1,9,5,,0.00,0,,6
1965-1-12,40,26,13,28,22,8,82,70,53,30.22,30.16,30.09,15,8,5,16,7,,0.00,0,,222
1965-1-13,39,33,27,31,24,17,89,72,41,30.18,30.02,29.77,10,6,4,10,4,,0.00,0,,208
1965-1-14,35,20,3,32,4,-16,89,48,32,30.33,29.95,29.69,15,14,4,25,13,,0.00,0,,280
1965-1-15,8,0,-7,-9,-19,-22,53,40,27,30.63,30.56,30.41,15,15,5,9,6,,0.00,0,,353
1965-1-16,9,5,2,1,-3,-6,73,69,61,30.56,30.37,30.19,10,3,0,18,13,,0.00,0,,16
1965-1-17,17,7,-4,4,0,-12,74,67,56,30.15,30.02,29.90,15,12,5,14,7,,0.00,0,,338
1965-1-18,19,6,-7,12,-2,-15,91,68,43,29.91,29.88,29.86,15,10,3,7,1,,0.00,0,,232
1965-1-19,25,10,-6,11,0,-20,92,62,45,30.11,29.99,29.86,15,8,4,13,3,,0.00,0,,265
1965-1-20,33,26,18,27,16,5,88,64,51,30.08,29.89,29.74,15,9,1,15,8,,0.00,0,,243
1965-1-21,30,22,15,9,6,2,59,48,35,30.20,30.09,29.93,15,15,15,22,11,,0.00,0,,278
1965-1-22,47,34,21,30,20,10,63,55,44,30.06,29.94,29.85,15,10,7,20,10,,0.00,0,,270
1965-1-23,32,25,17,16,3,-4,77,47,34,30.46,30.38,30.18,15,12,1,14,10,,0.00,0,,34
1965-1-24,21,18,16,18,15,12,92,86,84,30.38,30.06,29.63,5,2,0,14,8,,0.00,0,,28
1965-1-25,38,29,20,27,22,14,89,76,53,29.93,29.70,29.52,15,12,3,12,7,,0.00,0,,323
1965-1-26,35,22,10,32,21,7,92,83,67,30.03,29.87,29.57,15,8,2,12,3,,0.00,0,,122
1965-1-27,39,30,21,32,22,8,96,64,39,29.63,29.52,29.44,15,10,0,21,9,,0.00,0,,295
1965-1-28,30,24,17,16,9,0,61,51,40,29.76,29.67,29.58,15,15,15,22,12,,0.00,0,,262
1965-1-29,18,13,7,-1,-6,-10,49,41,31,29.81,29.73,29.66,15,15,15,15,9,,0.00,0,,278
1965-1-30,18,9,0,-4,-9,-13,54,43,31,29.89,29.83,29.77,15,15,15,10,5,,0.00,0,,240
1965-1-31,26,11,-4,7,-3,-16,73,53,42,29.74,29.70,29.61,15,15,15,14,4,,0.00,0,,335
1965-2-1,28,14,0,23,6,-9,88,66,43,29.99,29.88,29.78,15,10,2,14,3,,0.00,0,,203
1965-2-2,29,24,20,24,15,5,92,65,45,29.90,29.73,29.65,15,7,2,16,7,,0.00,0,,268
1965-2-3,22,16,10,4,0,-9,68,51,37,30.18,30.06,29.96,15,15,15,20,9,,0.00,0,,266
1965-2-4,19,12,4,-2,-8,-11,50,41,27,30.35,30.28,30.22,15,15,15,12,8,,0.00,0,,267
1965-2-5,19,8,-3,14,-1,-12,81,59,36,30.50,30.40,30.25,15,13,3,10,6,,0.00,0,,234
1965-2-6,33,26,20,27,21,15,85,75,61,30.44,30.25,30.09,10,6,3,10,5,,0.00,0,,115
1965-2-7,41,34,27,33,30,23,89,81,73,30.53,30.46,30.34,10,4,3,8,3,,0.00,0,,77
1965-2-8,53,46,40,44,41,37,100,88,72,30.22,30.03,29.94,15,6,0,10,7,,0.00,0,,255
1965-2-9,45,35,25,37,22,17,81,60,40,30.55,30.40,30.17,15,14,10,16,8,,0.00,0,,27
1965-2-10,31,28,24,29,22,12,92,78,58,30.54,30.37,30.12,15,7,1,9,3,,0.00,0,,84
1965-2-11,48,38,26,34,29,24,96,81,52,30.17,30.11,30.02,15,9,0,10,3,,0.00,0,,309
1965-2-12,37,32,26,33,31,22,100,88,79,30.16,29.95,29.71,15,4,0,6,2,,0.00,0,,94
1965-2-13,39,33,25,34,21,10,93,60,41,30.06,29.85,29.67,15,11,0,16,6,,0.00,0,,292
1965-2-14,24,20,16,12,5,-6,71,53,29,30.32,30.25,30.12,15,15,8,10,5,,0.00,0,,18
1965-2-15,36,24,13,17,13,8,89,61,31,30.36,30.32,30.24,15,13,3,6,2,,0.00,0,,270
1965-2-16,46,35,24,24,18,14,69,52,39,30.33,30.20,30.07,15,11,5,18,7,,0.00,0,,257
1965-2-17,37,28,20,17,6,-6,59,40,17,30.29,30.21,30.15,15,15,10,9,6,,0.00,0,,332
1965-2-18,41,34,28,31,20,12,85,61,43,30.07,29.80,29.66,15,12,2,14,8,,0.00,0,,236
1965-2-19,27,18,8,12,3,-12,57,46,36,29.73,29.60,29.52,15,15,15,25,11,,0.00,0,,316
1965-2-20,25,15,5,-4,-9,-12,47,37,25,29.97,29.88,29.75,15,15,15,21,14,,0.00,0,,315
1965-2-21,45,28,12,25,10,-6,72,49,31,29.93,29.74,29.51,15,11,5,7,4,,0.00,0,,234
1965-2-22,34,24,12,30,12,-8,92,63,33,29.78,29.47,29.31,15,9,0,28,9,,0.00,0,,301
1965-2-23,23,16,8,-2,-8,-15,47,36,26,30.29,30.11,29.88,15,15,15,14,11,,0.00,0,,278
1965-2-24,29,16,4,20,8,-6,85,64,38,30.42,30.34,30.26,15,12,7,13,3,,0.00,0,,106
1965-2-25,52,38,23,48,33,19,93,84,74,30.17,29.56,29.03,15,7,2,20,12,,0.00,0,,103
1965-2-26,40,31,21,33,15,3,77,55,39,29.70,29.40,29.08,15,13,1,21,15,,0.00,0,,263
1965-2-27,32,23,14,11,5,-1,62,46,31,29.88,29.83,29.73,15,15,15,16,9,,0.00,0,,293
1965-2-28,38,29,20,16,14,10,68,52,38,29.99,29.89,29.85,15,14,10,18,5,,0.00,0,,336
1965-3-1,40,32,25,26,18,10,67,55,49,30.04,29.97,29.93,15,15,15,15,8,,0.00,0,,343
1965-3-2,50,38,26,26,23,20,78,57,36,30.05,29.97,29.90,15,15,15,16,8,,0.00,0,,326
1965-3-3,50,41,32,33,31,26,82,68,50,30.11,30.06,29.97,15,15,15,12,4,,0.00,0,,314
1965-3-4,57,41,25,33,28,24,96,67,36,30.06,29.97,29.87,15,15,15,8,2,,0.00,0,,303
1965-3-5,44,36,29,36,32,25,96,83,65,29.86,29.74,29.56,15,11,2,17,7,,0.00,0,,79
