EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2006-1-1,34,28,22,27,22,19,92,83,74,30.19,30.03,29.83,10,7,1,21,8,24,0.07,8,Snow,350
2006-1-2,38,33,27,33,30,26,96,86,75,30.24,30.20,30.15,10,6,2,12,5,13,0.09,7,Rain-Snow,166
2006-1-3,39,34,28,36,31,20,100,85,69,30.15,30.07,30.00,10,7,2,31,21,38,0.26,8,Rain-Snow,62
2006-1-4,32,29,26,27,23,17,85,77,68,30.12,29.99,29.83,10,9,5,20,12,23,0.00,8,,349
2006-1-5,39,34,29,36,31,27,92,89,85,29.82,29.70,29.60,10,4,1,16,7,20,0.21,7,Rain-Snow,228
2006-1-6,39,35,31,33,29,21,96,83,69,29.71,29.66,29.62,10,10,9,17,9,21,0.00,8,,304
2006-1-7,32,28,24,18,13,9,69,53,36,29.99,29.86,29.69,10,10,10,22,12,29,0.00,3,,277
2006-1-8,35,31,26,30,25,15,92,75,57,30.19,30.07,29.99,10,6,2,13,5,15,0.12,7,Snow,216
2006-1-9,48,39,30,36,32,28,92,75,58,30.18,30.01,29.87,10,8,5,20,9,29,0.00,5,,204
2006-1-10,44,39,34,29,26,23,75,60,45,30.45,30.38,30.17,10,10,10,20,10,25,0.00,0,,256
2006-1-11,55,45,34,52,42,29,100,88,75,30.40,30.11,29.78,10,6,0,22,12,26,0.05,8,Fog-Rain,203
2006-1-12,55,49,42,52,39,34,93,72,50,30.00,29.88,29.75,10,9,4,23,12,29,0.20,3,Rain,246
2006-1-13,55,45,35,50,42,33,100,83,66,30.01,29.91,29.74,10,6,0,18,8,23,0.00,5,Fog,193
2006-1-14,59,51,42,57,52,41,100,97,93,29.72,29.36,29.07,10,4,0,29,12,38,0.90,8,Fog-Rain,175
2006-1-15,41,26,11,39,21,-1,100,77,54,29.58,29.28,29.09,10,6,2,32,22,43,0.39,7,Rain-Snow,321
2006-1-16,32,21,10,12,6,-1,66,55,43,29.91,29.71,29.60,10,10,10,33,20,37,0.00,0,,290
2006-1-17,37,31,24,32,18,9,82,60,38,30.30,30.17,29.95,10,10,10,20,10,25,T,4,Rain,345
2006-1-18,60,49,38,55,43,26,100,80,60,30.18,29.68,29.35,10,8,0,49,22,61,0.69,7,Fog-Rain,186
2006-1-19,43,39,34,27,22,17,64,52,39,30.26,30.12,29.83,10,10,10,26,15,33,0.00,4,,242
2006-1-20,57,46,35,35,33,27,70,55,40,30.20,30.10,30.02,10,10,10,22,14,28,0.00,5,,227
2006-1-21,60,49,37,40,33,17,82,63,44,30.29,29.98,29.72,10,10,10,37,17,44,0.00,5,,244
2006-1-22,38,33,28,21,11,5,63,45,27,30.69,30.57,30.35,10,10,10,28,10,36,0.00,3,,294
2006-1-23,35,33,31,34,31,21,96,80,63,30.51,30.11,29.87,10,4,0,17,10,21,0.79,8,Fog-Rain-Snow,100
2006-1-24,39,35,31,31,27,24,89,74,59,29.92,29.81,29.66,10,10,10,15,8,17,0.00,2,,243
2006-1-25,42,37,32,34,31,28,96,81,65,29.67,29.54,29.47,10,5,0,17,8,21,0.31,7,Rain-Snow,291
2006-1-26,37,30,23,31,22,8,89,68,47,30.34,29.92,29.67,10,8,2,28,16,33,0.02,5,Snow,319
2006-1-27,38,30,21,20,8,0,57,40,23,30.45,30.35,30.21,10,10,10,23,15,30,0.00,1,,283
2006-1-28,53,44,35,29,23,18,53,43,32,30.20,30.08,29.97,10,10,10,20,13,25,0.00,2,,263
2006-1-29,47,42,36,43,36,29,96,77,57,30.07,29.86,29.69,10,7,2,18,7,20,0.34,7,Rain,216
2006-1-30,41,38,34,38,35,33,100,93,86,29.97,29.85,29.70,4,2,0,17,11,,T,8,Rain,15
2006-1-31,40,34,28,39,34,25,100,89,78,29.88,29.72,29.64,10,3,0,26,17,33,0.16,8,Rain-Snow,27
2006-2-1,42,36,30,30,26,23,82,71,59,29.97,29.85,29.73,10,10,10,21,10,25,0.00,7,,313
2006-2-2,45,38,31,36,30,26,85,72,58,30.09,30.03,29.96,10,9,6,13,7,16,0.00,5,,195
2006-2-3,55,47,38,52,44,35,100,93,85,30.05,29.78,29.58,10,5,1,26,12,32,0.61,7,Rain,156
2006-2-4,49,44,39,44,40,36,100,81,61,29.96,29.81,29.56,10,6,0,22,10,26,0.45,7,Rain,48
2006-2-5,51,46,40,52,41,23,100,73,46,29.52,29.35,29.26,10,6,0,28,15,35,0.34,7,Fog-Rain,212
2006-2-6,40,37,33,25,18,13,52,44,35,29.70,29.60,29.45,10,10,9,29,19,36,T,2,Snow,243
2006-2-7,37,32,27,18,15,12,53,46,38,29.94,29.81,29.69,10,10,10,30,16,39,0.00,3,,267
2006-2-8,35,29,23,13,11,9,59,49,38,29.99,29.96,29.90,10,10,10,17,11,25,0.00,3,,305
2006-2-9,34,27,20,11,5,-2,62,42,22,29.99,29.95,29.90,10,10,10,21,11,31,0.00,3,,302
2006-2-10,29,23,16,6,2,-1,58,44,29,30.15,30.09,30.00,10,10,10,22,11,29,0.00,5,,310
2006-2-11,28,23,18,17,7,0,63,50,36,30.23,30.15,30.01,10,10,10,22,10,28,0.00,6,,57
2006-2-12,28,22,16,25,17,7,92,73,53,29.96,29.60,29.42,10,1,0,37,23,44,0.98,8,Fog-Snow,9
2006-2-13,33,25,17,17,10,2,63,52,41,29.89,29.79,29.61,10,10,10,25,14,32,T,3,,256
2006-2-14,40,34,27,24,18,16,68,53,37,30.14,30.01,29.89,10,10,10,18,14,25,0.00,4,,233
2006-2-15,54,42,30,31,28,24,78,57,35,30.23,30.16,30.11,10,10,8,24,10,28,0.00,4,,206
2006-2-16,54,44,34,38,34,30,82,66,50,30.31,30.23,30.09,10,9,6,15,7,18,0.00,3,,178
2006-2-17,57,43,28,48,35,9,93,62,31,30.08,29.82,29.59,10,10,5,48,23,58,0.08,6,Rain,236
2006-2-18,32,22,11,18,1,-13,58,40,21,30.22,30.06,29.99,10,9,2,30,19,37,T,3,Snow,293
2006-2-19,29,19,9,6,-2,-9,50,40,29,30.28,30.20,30.15,10,10,10,26,15,33,0.00,0,,278
2006-2-20,34,27,20,8,6,3,49,41,32,30.16,30.06,29.98,10,10,10,20,12,26,0.00,0,,258
2006-2-21,40,31,22,17,13,9,62,48,33,30.01,29.93,29.82,10,10,10,21,10,29,0.00,4,,244
2006-2-22,41,35,28,25,20,14,69,50,31,30.10,30.03,29.99,10,10,10,17,9,20,0.00,2,,233
2006-2-23,43,37,30,34,31,25,89,78,67,29.99,29.85,29.76,10,6,3,14,6,17,0.05,7,Rain,206
2006-2-24,37,31,24,29,15,-2,89,59,29,30.23,29.88,29.72,10,9,7,37,19,44,T,4,Snow,287
2006-2-25,28,24,19,25,16,-4,88,57,26,30.28,29.97,29.82,10,4,0,18,9,24,0.06,7,Fog-Snow,334
2006-2-26,23,18,13,18,4,-5,84,61,37,30.02,29.97,29.88,10,9,1,25,17,33,0.07,3,Snow,312
2006-2-27,21,14,8,-2,-6,-9,57,41,27,29.94,29.87,29.80,10,10,10,25,18,32,0.00,2,,288
2006-2-28,28,22,16,6,1,-5,54,40,25,29.83,29.76,29.68,10,10,10,30,17,38,0.00,2,,271
2006-3-1,33,26,18,7,3,-1,56,41,25,29.86,29.80,29.73,10,10,10,22,13,29,0.00,2,,284
2006-3-2,35,29,23,25,13,5,58,46,34,29.82,29.66,29.51,10,9,2,17,10,23,T,6,Snow,292
2006-3-3,31,26,20,15,4,-3,52,41,29,29.75,29.70,29.65,10,10,8,30,19,41,T,3,Snow,305
2006-3-4,40,30,20,14,11,5,57,45,33,29.92,29.77,29.68,10,10,10,29,18,36,0.00,4,,305
2006-3-5,46,37,28,16,13,10,53,40,27,29.94,29.91,29.86,10,10,10,23,14,29,0.00,0,,303
2006-3-6,38,32,26,20,15,9,69,55,41,30.06,29.99,29.95,10,10,10,26,9,33,0.00,2,,129
2006-3-7,40,33,26,28,22,15,82,63,44,30.14,30.10,30.05,10,10,10,15,8,16,0.00,2,,10
2006-3-8,38,33,27,28,22,13,82,66,49,30.15,30.09,30.02,10,10,10,15,10,20,0.00,4,,115
2006-3-9,42,38,34,35,30,25,85,67,49,30.12,30.04,29.91,10,10,7,14,8,17,T,7,Rain,148
2006-3-10,66,52,38,50,44,35,93,68,43,29.90,29.71,29.57,10,8,5,25,13,33,0.00,6,,216
2006-3-11,59,51,43,34,27,24,58,43,28,30.27,30.13,29.91,10,10,10,24,13,31,0.00,3,,290
2006-3-12,57,46,35,44,35,26,86,64,42,30.27,30.08,29.93,10,10,9,24,10,31,T,6,Rain,218
2006-3-13,53,47,40,48,43,40,100,90,80,29.95,29.76,29.62,10,4,0,15,6,17,0.30,7,Rain,77
2006-3-14,58,47,36,57,41,18,100,68,35,29.61,29.43,29.31,10,4,0,30,13,41,0.25,6,Fog-Rain,275
2006-3-15,41,36,32,27,20,15,70,52,38,29.72,29.56,29.50,10,9,2,28,19,41,0.00,5,Snow,273
2006-3-16,43,36,30,17,15,13,59,43,32,29.98,29.85,29.74,10,10,10,22,16,29,0.00,3,,298
2006-3-17,41,33,24,14,10,5,54,41,29,29.99,29.94,29.87,10,10,10,21,12,25,0.00,1,,314
2006-3-18,37,29,21,14,9,6,51,43,33,29.95,29.87,29.80,10,10,10,18,14,24,0.00,4,,292
2006-3-19,34,29,24,16,11,8,64,47,37,29.95,29.89,29.81,10,10,6,16,11,23,0.00,6,Snow,317
2006-3-20,34,28,21,12,7,4,55,41,29,29.99,29.93,29.87,10,10,10,23,15,29,0.00,1,,316
2006-3-21,45,34,23,26,14,7,62,44,28,29.87,29.74,29.66,10,10,10,20,14,25,0.00,2,,299
2006-3-22,42,36,30,23,20,18,61,51,41,29.92,29.79,29.68,10,10,10,17,12,24,0.00,7,,327
2006-3-23,55,44,33,34,25,19,73,49,32,30.10,29.99,29.92,10,10,10,16,12,24,0.00,4,,346
2006-3-24,45,41,36,36,33,29,85,69,53,30.15,30.11,30.06,10,10,10,15,8,17,0.00,7,,84
2006-3-25,42,39,36,34,31,25,85,75,64,30.05,29.97,29.89,10,10,5,21,12,23,0.01,8,Rain,44
2006-3-26,48,42,37,29,25,22,60,48,38,29.95,29.86,29.81,10,10,10,18,11,23,0.00,7,,346
2006-3-27,55,46,37,24,17,12,53,33,18,30.16,30.03,29.95,10,10,10,16,12,21,0.00,0,,312
2006-3-28,50,44,37,30,25,21,70,49,35,30.25,30.20,30.15,10,10,10,15,8,,0.00,3,,187
2006-3-29,54,44,35,30,28,24,76,49,36,30.23,30.20,30.14,10,10,10,15,9,,0.00,1,,197
2006-3-30,57,51,45,32,25,20,56,38,25,30.31,30.26,30.22,10,10,10,17,9,21,0.00,2,,181
2006-3-31,73,58,42,39,35,31,70,46,24,30.26,30.13,30.00,10,10,8,24,11,31,0.00,2,,207
2006-4-1,69,60,50,51,45,37,84,67,53,29.97,29.75,29.58,10,9,6,22,14,32,0.03,5,Rain,232
2006-4-2,64,55,46,41,22,8,68,34,12,30.05,29.90,29.72,10,10,10,25,18,32,0.00,1,,314
2006-4-3,52,46,41,37,26,16,80,49,25,30.08,30.00,29.85,10,10,8,21,9,,0.02,5,Rain,88
2006-4-4,51,44,37,48,39,24,96,83,57,29.81,29.52,29.39,10,7,2,31,18,34,0.39,7,Rain,196
2006-4-5,39,36,33,36,31,25,93,82,60,29.70,29.67,29.63,10,6,2,15,10,22,0.20,6,Rain-Snow,330
2006-4-6,53,43,35,29,27,24,67,54,39,29.88,29.77,29.69,10,10,10,20,14,26,0.00,4,,276
2006-4-7,61,48,37,48,39,29,89,70,39,29.90,29.69,29.50,10,9,4,28,14,30,0.11,5,Rain,220
2006-4-8,53,46,39,49,33,20,93,64,38,29.98,29.74,29.51,10,9,4,18,10,23,0.12,8,Rain,331
2006-4-9,44,40,36,30,26,22,70,60,53,30.14,30.08,30.00,10,10,9,15,10,,0.00,4,,50
2006-4-10,57,46,37,34,28,22,63,49,29,30.27,30.20,30.13,10,10,10,20,10,21,0.00,1,,247
2006-4-11,57,48,39,40,35,29,80,64,33,30.39,30.34,30.28,10,10,10,15,8,,0.00,3,,137
2006-4-12,69,55,42,45,36,32,76,52,30,30.42,30.34,30.21,10,10,10,21,9,29,0.00,4,Rain,191
2006-4-13,69,61,54,51,46,37,75,62,39,30.23,30.00,29.87,10,10,9,22,15,26,0.01,6,Rain,215
2006-4-14,68,56,46,52,43,38,89,59,42,29.94,29.81,29.65,10,10,6,17,8,,0.03,4,Rain,173
2006-4-15,77,60,46,55,48,22,96,72,14,29.64,29.49,29.35,10,7,1,22,9,31,0.00,6,,212
2006-4-16,59,52,46,47,35,28,93,55,32,29.76,29.61,29.52,10,9,0,24,11,30,0.00,3,Fog,313
2006-4-17,53,48,44,40,35,33,79,63,55,29.84,29.77,29.72,10,10,10,16,10,23,0.00,5,Rain,24
2006-4-18,64,54,46,41,39,37,83,65,41,29.86,29.82,29.77,10,10,10,20,12,26,0.02,6,Rain,1
2006-4-19,73,60,48,41,30,18,69,37,12,29.87,29.72,29.58,10,10,10,25,14,31,0.00,5,,344
2006-4-20,64,54,45,42,34,22,77,49,22,30.15,29.87,29.64,10,10,10,25,10,31,0.00,0,,68
2006-4-21,48,46,44,40,31,20,79,58,35,30.38,30.31,30.17,10,10,9,21,11,,0.00,4,,86
2006-4-22,48,42,39,36,31,24,79,62,45,30.43,30.36,30.27,10,10,9,16,9,,0.11,7,Rain,80
2006-4-23,48,46,43,41,38,34,89,76,68,30.27,30.13,29.97,10,9,4,18,13,,0.61,8,Rain,81
2006-4-24,48,46,44,45,43,41,97,91,86,29.95,29.84,29.74,10,6,1,14,10,,0.13,8,Rain,33
2006-4-25,70,57,45,45,41,28,90,61,42,29.82,29.71,29.59,10,10,9,23,12,31,0.02,5,Rain,266
2006-4-26,60,48,37,31,23,17,58,38,24,29.96,29.86,29.75,10,10,10,21,14,25,0.00,0,,232
2006-4-27,55,48,43,42,36,29,83,64,49,30.03,29.88,29.80,10,10,10,21,13,,0.00,2,,82
2006-4-28,50,46,42,39,32,28,82,59,46,30.37,30.23,30.05,10,10,10,16,9,,0.00,2,,61
2006-4-29,55,46,39,32,29,25,70,50,34,30.49,30.44,30.38,10,10,10,18,10,,0.00,0,,39
2006-4-30,55,48,42,33,26,22,55,40,30,30.48,30.43,30.40,10,10,10,15,8,,0.00,0,,27
2006-5-1,55,49,44,41,34,25,87,57,41,30.43,30.37,30.23,10,10,9,24,15,31,0.01,6,Rain,38
2006-5-2,46,45,44,46,43,41,100,92,86,30.20,30.01,29.91,10,5,2,24,20,31,0.85,8,Rain,24
2006-5-3,54,49,44,54,48,45,100,98,93,29.91,29.88,29.86,10,3,0,18,14,,0.28,8,Rain,16
2006-5-4,71,61,53,55,52,49,100,80,57,29.87,29.80,29.72,10,9,6,14,9,,0.00,4,,322
2006-5-5,80,68,57,53,46,33,81,51,18,29.72,29.69,29.64,10,10,8,14,6,21,0.00,5,,258
2006-5-6,68,62,55,49,42,38,60,50,41,29.90,29.76,29.72,10,10,10,18,10,26,0.00,5,,325
2006-5-7,61,53,46,40,33,24,59,47,27,30.16,30.07,29.92,10,10,10,17,12,21,0.00,3,,356
2006-5-8,57,52,46,42,38,33,76,61,40,30.26,30.20,30.13,10,10,10,14,7,,0.00,6,,85
2006-5-9,54,50,46,46,42,35,100,79,54,30.12,29.99,29.90,10,6,2,30,18,40,0.92,8,Rain,25
2006-5-10,50,48,46,50,48,46,100,98,93,29.95,29.92,29.86,10,3,1,23,18,29,0.57,8,Rain,32
2006-5-11,52,48,46,50,47,46,100,95,88,30.00,29.96,29.92,10,2,0,15,8,,0.08,8,Fog-Rain,54
2006-5-12,51,48,46,50,49,46,100,99,94,29.96,29.94,29.91,0,0,0,16,12,,0.26,8,Fog-Rain,58
2006-5-13,50,48,46,50,48,46,100,99,94,30.09,30.02,29.92,5,2,0,18,15,,3.74,8,Fog-Rain,52
2006-5-14,48,47,46,49,47,45,100,99,93,30.15,30.11,30.05,5,2,1,22,15,26,3.91,8,Rain,49
2006-5-15,50,48,46,50,48,46,100,99,94,30.12,30.04,29.92,10,2,0,20,12,,0.37,8,Fog-Rain,41
2006-5-16,55,52,48,54,50,48,100,95,82,29.89,29.64,29.47,10,5,0,20,9,25,0.52,7,Fog-Rain,360
2006-5-17,69,59,50,51,48,46,86,68,45,29.57,29.52,29.47,10,10,7,17,13,23,0.00,3,,223
2006-5-18,75,64,53,55,50,48,87,64,38,29.57,29.49,29.45,10,9,6,22,11,29,0.00,4,,203
2006-5-19,64,58,53,61,53,46,100,87,56,29.57,29.51,29.37,10,5,0,26,10,33,0.47,7,Fog-Rain-Thunderstorm,163
2006-5-20,68,58,50,48,44,41,86,62,43,29.63,29.56,29.51,10,10,10,25,16,34,0.00,5,,243
2006-5-21,68,56,46,48,41,35,83,62,38,29.66,29.58,29.48,10,9,2,32,15,55,0.11,5,Rain-Thunderstorm,258
2006-5-22,66,56,45,41,37,35,71,52,37,29.85,29.69,29.57,10,10,10,23,18,34,0.00,3,,293
2006-5-23,63,54,46,39,37,35,66,54,40,29.92,29.85,29.81,10,10,10,23,14,30,0.00,4,,293
2006-5-24,68,59,51,47,43,39,83,62,39,29.95,29.91,29.89,10,10,10,14,11,21,0.00,5,,256
2006-5-25,77,62,48,50,46,44,86,59,33,29.96,29.86,29.76,10,10,9,18,6,,0.00,2,,169
2006-5-26,78,67,57,65,59,43,97,83,48,29.78,29.65,29.58,10,5,0,13,7,21,0.27,7,Fog-Rain-Thunderstorm,181
2006-5-27,73,67,61,64,62,58,94,86,71,29.96,29.72,29.60,8,4,0,12,5,,0.00,6,Fog-Rain,179
2006-5-28,72,67,63,57,55,52,75,65,51,30.16,30.10,29.98,10,10,10,13,8,,0.00,4,,63
2006-5-29,84,72,63,62,60,56,81,67,42,30.12,30.05,29.99,10,7,5,12,8,,0.00,5,,205
2006-5-30,70,62,55,61,55,51,89,81,65,30.27,30.17,30.03,10,7,2,17,9,,0.00,3,,65
2006-5-31,79,64,53,61,56,52,100,83,58,30.25,30.18,30.06,10,5,0,16,7,,0.00,4,,121
2006-6-1,89,76,64,66,63,57,90,69,43,30.05,29.93,29.84,10,8,6,16,10,21,0.04,5,Rain-Thunderstorm,240
2006-6-2,71,65,59,67,61,55,94,89,80,29.91,29.89,29.85,10,5,2,12,7,,0.63,8,Rain,49
2006-6-3,59,56,53,57,54,50,97,92,88,29.87,29.77,29.72,10,5,2,20,9,24,1.85,8,Rain,31
2006-6-4,60,56,51,55,52,50,94,85,75,29.79,29.73,29.69,10,8,2,23,15,30,0.32,8,Rain,353
2006-6-5,70,63,57,55,53,51,89,74,54,29.96,29.85,29.78,10,10,10,14,6,17,0.00,6,,253
2006-6-6,64,60,57,57,55,52,90,83,75,30.06,30.02,29.95,10,10,9,13,5,,0.00,7,,67
2006-6-7,57,55,53,55,54,52,100,96,90,30.00,29.83,29.72,10,4,0,34,19,45,2.72,8,Rain,43
2006-6-8,61,56,51,58,54,51,100,95,80,29.76,29.72,29.67,10,6,2,17,11,23,0.22,8,Rain,358
2006-6-9,63,60,57,61,58,55,100,92,82,29.77,29.69,29.55,10,4,0,10,6,,0.02,8,Rain,140
2006-6-10,61,57,53,59,56,48,94,89,80,29.55,29.43,29.37,10,6,2,22,9,28,0.47,8,Rain,268
2006-6-11,73,62,53,53,49,45,80,63,51,29.71,29.56,29.48,10,10,10,21,14,28,0.00,4,,288
2006-6-12,77,66,57,60,55,50,79,66,52,29.89,29.81,29.72,10,10,10,16,11,23,0.00,3,,280
2006-6-13,73,68,63,61,58,55,78,68,55,29.98,29.93,29.88,10,10,10,13,8,,0.00,4,,133
2006-6-14,73,67,61,62,60,58,90,80,66,29.99,29.95,29.83,10,10,7,15,8,,0.00,6,,43
2006-6-15,78,69,60,59,54,44,90,65,30,29.96,29.81,29.71,10,9,5,16,12,24,0.10,6,Rain,335
2006-6-16,80,71,62,59,54,48,66,54,39,30.07,30.03,29.96,10,10,9,14,10,,0.00,2,,236
2006-6-17,84,75,66,62,56,50,81,52,34,30.10,30.06,30.03,10,10,9,17,11,25,0.00,5,,254
2006-6-18,91,78,64,70,65,59,87,69,48,30.04,29.98,29.92,10,8,6,14,8,,0.00,4,,197
2006-6-19,93,82,72,68,65,61,78,59,40,29.92,29.85,29.78,8,6,4,23,11,29,0.00,4,,224
2006-6-20,84,76,70,67,64,57,81,69,57,29.90,29.82,29.77,10,8,0,15,10,43,0.37,5,Rain-Thunderstorm,201
2006-6-21,79,71,64,60,55,49,87,61,39,30.08,30.03,29.91,10,10,10,14,10,,0.00,2,,301
2006-6-22,84,72,62,66,61,54,81,65,51,30.10,30.04,29.97,10,9,6,21,9,24,0.00,3,,199
2006-6-23,84,75,66,70,67,64,96,87,61,30.05,30.02,29.97,6,3,0,15,8,21,1.35,7,Fog-Rain-Thunderstorm,162
2006-6-24,70,66,64,68,65,63,100,95,88,30.14,30.09,30.03,7,2,0,8,4,,0.69,8,Fog-Rain,68
2006-6-25,66,64,62,64,62,61,100,95,93,30.20,30.17,30.13,2,1,0,8,4,,0.94,8,Fog-Rain,83
2006-6-26,82,72,62,70,66,61,100,84,56,30.24,30.18,30.14,10,6,0,17,6,23,0.01,7,Fog-Rain,169
2006-6-27,84,76,70,68,67,64,90,76,54,30.26,30.24,30.21,10,9,7,20,11,24,0.00,4,,188
2006-6-28,77,72,68,70,67,64,94,87,69,30.22,30.11,30.01,10,8,2,23,11,32,0.05,7,Rain,178
2006-6-29,78,73,69,70,68,66,100,87,76,30.06,30.01,29.92,8,5,2,15,9,,0.00,8,,194
2006-6-30,81,72,64,66,61,52,94,72,39,29.99,29.89,29.85,10,7,3,20,11,24,0.13,5,Rain-Thunderstorm,219
2006-7-1,84,75,66,59,56,50,61,51,37,30.10,30.05,30.01,10,10,9,22,12,26,0.00,3,,245
2006-7-2,87,78,69,69,64,59,75,62,51,30.05,29.91,29.81,9,8,6,23,15,31,0.00,5,,220
2006-7-3,84,77,72,68,61,55,73,59,42,30.02,29.98,29.88,10,10,7,16,12,18,0.00,4,,222
2006-7-4,88,78,68,72,68,63,89,77,48,29.99,29.89,29.81,10,6,2,15,6,,0.00,6,Rain,203
2006-7-5,81,76,71,69,63,54,90,68,42,29.93,29.87,29.81,10,7,2,14,9,,0.00,5,,240
2006-7-6,77,70,64,66,61,53,90,74,58,30.09,29.99,29.92,10,9,6,10,8,,0.15,6,Rain,202
2006-7-7,82,72,63,58,55,52,67,54,39,30.21,30.16,30.11,10,10,8,12,7,,0.00,3,,300
2006-7-8,75,69,62,63,59,58,86,67,56,30.24,30.17,30.07,10,10,10,12,6,,0.00,6,,68
2006-7-9,87,74,62,64,61,59,90,63,39,30.06,30.00,29.95,10,10,10,15,6,20,0.00,4,,226
2006-7-10,87,76,66,65,62,57,90,64,38,30.11,30.04,30.00,10,9,5,23,13,30,0.00,1,,219
2006-7-11,84,75,68,70,67,63,90,79,65,30.12,30.07,30.01,10,7,4,16,10,,0.02,5,Rain-Thunderstorm,185
2006-7-12,80,72,66,72,67,63,97,89,62,30.10,30.00,29.85,7,3,0,15,7,20,0.94,6,Fog-Rain,150
2006-7-13,75,68,64,72,65,62,94,87,73,29.95,29.88,29.79,10,7,2,15,10,22,0.17,6,Rain,65
