EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1961-1-1,28,24,19,27,22,16,100,88,78,30.20,29.95,29.81,7,5,1,12,7,,0.30,,Snow,347
1961-1-2,21,18,16,17,15,12,92,85,78,30.25,30.21,30.17,10,6,1,9,5,,0.03,,Fog-Snow,231
1961-1-3,25,20,16,24,17,13,96,87,71,30.21,30.13,30.00,7,4,0,15,7,,0.29,,Fog-Snow,231
1961-1-4,21,16,10,16,10,2,84,75,68,30.17,30.08,29.96,10,8,5,15,12,,0.02,,Snow,286
1961-1-5,32,18,10,30,15,4,92,79,69,30.20,30.08,29.94,10,6,1,10,7,,0.00,,Snow,176
1961-1-6,39,36,32,30,29,28,92,79,63,29.96,29.89,29.79,7,7,5,21,14,,0.00,0,,241
1961-1-7,43,36,28,32,30,25,92,83,62,29.94,29.80,29.65,8,7,4,26,14,,0.02,,Rain-Snow,232
1961-1-8,33,24,15,30,16,5,92,75,64,30.26,29.98,29.72,10,4,1,21,17,,0.08,,Snow,307
1961-1-9,14,11,8,6,3,1,77,70,62,30.52,30.45,30.28,10,6,1,15,11,,0.00,,Snow,301
1961-1-10,28,22,15,20,13,2,78,67,54,30.47,30.37,30.24,7,6,5,15,9,,0.00,,,223
1961-1-11,33,30,26,27,21,12,85,70,55,30.24,30.16,30.09,6,5,4,21,13,,0.00,0,,241
1961-1-12,30,24,19,24,16,10,85,69,58,30.40,30.31,30.25,15,8,5,8,5,,0.00,,,79
1961-1-13,43,34,24,30,26,13,79,66,54,30.26,30.13,30.01,7,6,4,14,9,,0.00,0,,207
1961-1-14,41,36,28,30,27,22,79,70,60,30.07,30.02,29.97,8,6,3,15,10,,0.00,,,330
1961-1-15,28,26,25,21,20,17,85,76,72,30.05,30.01,29.97,8,7,5,17,13,,0.00,,Fog,55
1961-1-16,30,27,24,25,21,19,85,79,72,29.97,29.93,29.91,8,7,5,16,7,,0.00,0,,32
1961-1-17,36,32,28,30,28,25,89,84,73,29.96,29.83,29.73,10,5,2,28,19,,0.00,,Fog-Snow,246
1961-1-18,34,24,14,29,12,2,92,66,48,30.17,30.07,29.82,10,7,7,17,12,,0.00,,,328
