EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1981-1-1,30,20,11,17,12,3,70,58,51,30.03,29.96,29.89,15,11,10,6,3,,0.00,7,,16
1981-1-2,32,25,16,27,16,-3,88,65,40,29.93,29.70,29.57,20,10,0,25,11,40,0.00,5,Snow,320
1981-1-3,15,12,8,7,-1,-10,81,58,41,30.10,29.98,29.89,20,11,1,15,10,,0.00,7,Snow,341
1981-1-4,6,3,0,-12,-16,-21,52,41,32,30.02,29.98,29.94,20,16,10,17,13,29,0.00,2,,308
1981-1-5,25,12,0,0,-7,-17,48,38,21,30.14,30.09,30.04,20,16,10,21,13,25,0.00,2,,320
1981-1-6,34,20,5,25,14,-6,76,59,43,30.21,30.07,29.88,20,15,10,15,6,,0.00,7,,245
1981-1-7,35,28,19,31,26,5,89,80,54,29.65,29.53,29.45,20,6,1,17,6,34,0.00,7,Fog-Snow,278
1981-1-8,20,15,10,-2,-5,-7,51,42,34,30.21,30.00,29.80,20,18,15,17,14,31,0.00,0,,307
1981-1-9,22,14,5,13,5,-3,74,60,46,30.31,30.25,30.21,15,14,10,8,2,,0.00,7,,270
1981-1-10,25,18,10,13,6,-12,81,62,35,30.09,29.99,29.93,20,7,1,21,13,29,0.00,5,Fog-Snow,338
1981-1-11,13,9,5,-9,-12,-15,44,38,33,30.19,30.04,29.76,20,19,15,17,13,25,0.00,0,,298
1981-1-12,15,6,-3,-5,-10,-19,50,42,32,30.27,30.19,30.08,15,14,7,13,7,,0.00,3,Snow,4
1981-1-13,21,12,2,-8,-11,-16,55,37,27,30.01,29.94,29.88,20,17,15,14,9,,0.00,3,,304
1981-1-14,27,18,8,15,7,-2,84,63,42,30.14,30.07,29.96,15,9,3,17,8,,0.00,4,Snow,273
1981-1-15,28,24,21,22,20,15,81,78,71,30.18,30.13,30.08,10,5,0,14,9,,0.00,8,Fog-Snow,24
1981-1-16,31,22,12,24,17,6,89,72,64,30.17,30.07,29.94,10,6,2,8,5,,0.00,7,Fog-Snow,23
1981-1-17,26,22,15,19,14,3,81,69,59,29.82,29.80,29.77,10,7,1,21,15,25,0.00,7,Snow,2
1981-1-18,27,17,7,13,4,-7,66,51,25,29.81,29.72,29.64,20,17,10,16,11,,0.00,4,,315
1981-1-19,42,33,24,25,23,17,75,60,43,29.75,29.67,29.61,15,14,10,16,7,23,0.00,3,,278
1981-1-20,39,26,12,22,13,5,77,54,32,30.11,30.00,29.84,15,15,15,14,6,,0.00,4,,327
1981-1-21,32,18,3,10,4,-7,77,55,35,30.14,30.03,29.94,20,15,15,8,1,,0.00,2,,164
1981-1-22,36,26,15,26,21,2,74,69,56,29.79,29.63,29.55,15,10,7,12,4,,0.00,6,,264
1981-1-23,39,27,15,25,18,9,78,59,42,29.65,29.60,29.54,20,15,7,14,7,,0.00,4,,298
1981-1-24,36,30,23,19,14,11,60,50,42,29.83,29.74,29.65,20,17,5,13,8,,0.00,6,Snow,325
1981-1-25,33,25,17,14,11,9,74,53,39,30.05,30.01,29.98,20,18,15,12,5,,0.00,2,,282
1981-1-26,45,41,37,36,34,31,83,74,63,29.87,29.72,29.59,10,7,7,23,12,34,0.00,7,,241
1981-1-27,48,40,30,36,29,22,89,66,50,29.71,29.65,29.58,20,10,4,9,4,17,0.00,3,Fog,271
1981-1-28,39,32,22,27,20,16,81,61,41,29.91,29.87,29.81,20,13,7,13,4,,0.00,4,,323
1981-1-29,35,28,20,29,21,10,82,75,66,30.08,29.92,29.83,20,6,1,17,9,29,0.00,7,Fog-Snow,326
1981-1-30,28,22,15,7,3,-5,65,46,37,30.20,30.15,30.09,20,19,15,21,12,25,0.00,0,,332
1981-1-31,35,23,11,6,2,-6,67,44,21,30.35,30.30,30.25,20,17,15,15,8,,0.00,0,,335
1981-2-1,43,24,6,36,27,-4,76,68,56,30.38,30.26,30.07,15,13,7,14,5,23,0.00,6,,206
1981-2-2,50,44,36,46,41,27,89,82,70,29.83,29.59,29.45,15,10,1,23,15,34,0.00,7,Fog-Rain,220
1981-2-3,29,23,16,15,9,-2,63,53,45,30.18,29.99,29.90,15,11,4,17,10,,0.00,5,Snow,303
1981-2-4,22,16,9,6,-2,-9,64,47,33,30.18,30.10,30.03,15,13,10,12,3,21,0.00,4,,278
1981-2-5,20,16,7,8,-3,-10,84,47,30,30.41,30.30,30.15,20,14,2,14,12,,0.00,1,Fog-Snow,314
1981-2-6,35,18,2,28,19,-7,79,70,62,30.36,30.20,30.09,20,12,2,15,5,,0.00,6,Fog-Snow,242
1981-2-7,37,26,15,25,19,11,88,63,33,30.24,30.19,30.09,15,11,7,21,5,,0.00,5,,223
1981-2-8,43,40,36,39,35,33,93,87,82,29.74,29.51,29.39,10,5,1,17,9,17,0.00,8,Fog-Rain,2
1981-2-9,34,30,25,15,13,10,58,49,42,30.33,30.02,29.73,20,17,10,18,13,29,0.00,1,,292
1981-2-10,43,30,16,27,19,8,77,56,24,30.69,30.65,30.58,15,11,6,16,7,,0.00,6,,177
1981-2-11,55,50,46,54,49,42,97,91,86,30.25,30.03,29.80,6,2,0,23,18,40,0.00,8,Fog-Rain,185
1981-2-12,30,24,18,10,0,-10,51,35,25,30.90,30.67,30.32,20,20,20,21,15,34,0.00,2,,316
1981-2-13,33,24,14,16,10,-8,74,53,31,31.06,30.99,30.93,20,20,15,13,8,,0.00,2,,110
1981-2-14,37,25,13,25,20,8,81,66,55,30.82,30.69,30.57,15,14,7,17,5,,0.00,2,,244
1981-2-15,37,30,22,21,18,12,77,60,46,30.78,30.72,30.67,15,10,6,12,4,,0.00,4,,147
1981-2-16,48,37,26,39,32,22,86,68,52,30.56,30.46,30.36,15,10,5,16,9,29,0.00,4,Fog,239
1981-2-17,57,46,36,45,39,33,93,73,53,30.29,30.24,30.18,10,8,5,14,11,,0.00,3,Fog,256
1981-2-18,64,49,34,50,42,30,90,71,45,30.26,30.23,30.20,15,10,3,14,6,,0.00,1,Fog,247
1981-2-19,59,49,39,51,45,32,93,84,72,30.22,30.15,30.06,10,5,0,9,4,,0.00,7,Fog-Rain,195
1981-2-20,59,54,48,49,47,45,93,86,69,29.90,29.76,29.68,10,6,2,23,16,34,0.00,8,Fog-Rain,148
1981-2-21,57,52,46,52,48,43,90,83,77,30.05,29.90,29.78,10,6,3,18,14,30,0.00,8,Fog-Rain,101
1981-2-22,46,42,36,41,37,32,89,85,79,30.22,30.21,30.20,10,5,2,17,12,,0.00,8,Fog,55
1981-2-23,45,38,34,43,36,30,93,84,76,30.15,30.06,29.93,7,4,0,14,9,,0.00,8,Fog,62
1981-2-24,50,48,46,48,46,44,93,90,86,29.77,29.70,29.62,10,4,1,16,9,,0.00,8,Fog-Rain,144
1981-2-25,44,38,33,41,36,32,96,92,85,29.52,29.45,29.39,6,3,1,17,14,30,0.00,8,Fog-Rain-Snow,358
1981-2-26,41,39,37,32,32,32,82,75,70,29.85,29.73,29.60,10,3,2,21,17,34,0.00,8,Fog-Rain,18
1981-2-27,52,44,35,32,28,16,79,56,43,30.04,29.98,29.88,20,19,15,17,13,29,0.00,3,,357
1981-2-28,46,36,27,32,20,12,86,48,28,30.04,29.85,29.61,20,12,5,12,4,,0.00,7,Rain,221
1981-3-1,52,46,35,26,20,15,53,37,27,29.72,29.63,29.57,20,19,15,21,14,29,0.00,3,,324
1981-3-2,44,38,33,25,19,15,60,44,33,29.74,29.63,29.57,15,11,7,14,9,,0.00,7,,271
1981-3-3,37,32,26,32,6,-1,82,33,23,29.88,29.71,29.61,20,20,20,17,14,29,0.00,3,,331
1981-3-4,42,32,22,12,6,0,38,31,21,29.98,29.89,29.83,20,20,20,14,10,,0.00,4,,281
1981-3-5,36,33,30,15,12,8,45,40,34,29.73,29.53,29.36,20,12,3,16,10,,0.00,8,,61
1981-3-6,39,36,34,25,20,12,63,51,36,29.49,29.43,29.38,15,9,2,17,11,,0.00,8,Snow,334
1981-3-7,39,36,34,29,27,24,71,64,62,29.91,29.72,29.55,7,5,3,17,12,25,0.00,8,Fog-Rain-Snow,24
1981-3-8,41,38,33,20,17,15,57,45,37,30.18,30.12,30.05,20,16,15,14,9,,0.00,8,,45
1981-3-9,46,40,34,24,20,16,60,45,32,30.15,30.10,30.07,20,15,10,12,5,,0.00,8,,301
1981-3-10,48,40,31,32,17,14,58,40,27,30.02,29.98,29.95,20,19,10,15,8,,0.00,6,,308
1981-3-11,44,36,27,21,18,15,61,46,33,29.94,29.85,29.79,20,10,7,9,4,,0.00,6,,257
1981-3-12,42,36,30,15,14,11,54,38,28,29.86,29.80,29.74,20,16,10,13,7,,0.00,4,,286
1981-3-13,57,46,36,35,24,18,93,43,23,29.67,29.61,29.56,10,10,7,16,10,,0.00,5,,251
1981-3-14,35,30,26,17,0,-14,55,27,17,29.63,29.52,29.45,20,20,15,23,18,37,0.00,5,,318
1981-3-15,51,40,28,20,14,8,45,33,19,29.64,29.54,29.46,20,13,10,20,15,29,0.00,3,,260
1981-3-16,59,45,31,30,22,9,67,48,24,29.31,29.27,29.23,10,6,3,21,10,29,0.00,8,Fog-Rain-Snow,9
1981-3-17,41,31,21,13,2,-7,46,28,19,29.21,29.13,29.07,20,20,20,23,18,34,0.00,3,,303
1981-3-18,37,29,21,0,-1,-3,40,26,19,29.48,29.39,29.33,20,20,20,23,17,29,0.00,0,,303
1981-3-19,37,29,21,15,5,0,50,34,20,29.42,29.39,29.35,20,17,10,14,6,,0.00,3,,312
1981-3-20,39,30,21,14,9,2,60,38,21,29.54,29.46,29.43,20,15,10,14,5,,0.00,5,,325
1981-3-21,39,35,31,27,22,19,63,57,53,30.00,29.75,29.56,20,10,3,14,10,23,0.00,7,Fog-Snow,358
1981-3-22,46,38,26,32,15,12,86,41,25,30.24,30.19,29.92,20,19,10,17,10,,0.00,2,,42
1981-3-23,46,36,27,22,14,10,62,38,25,30.12,30.03,29.97,20,16,10,9,3,,0.00,7,,150
1981-3-24,52,39,26,20,16,12,61,40,22,29.96,29.90,29.85,20,17,10,12,3,17,0.00,3,,109
1981-3-25,45,40,35,28,25,21,60,55,44,30.26,30.13,29.99,15,10,7,9,7,,0.00,8,Rain,44
1981-3-26,50,42,33,27,25,21,63,53,41,30.31,30.26,30.22,15,9,7,16,8,,0.00,4,,249
1981-3-27,51,46,39,43,30,24,89,54,40,30.14,29.92,29.81,15,9,3,17,12,29,0.00,6,Rain,292
1981-3-28,53,44,34,23,17,11,52,34,20,30.40,30.31,30.20,20,18,15,17,9,,0.00,5,,272
1981-3-29,64,54,44,30,29,27,51,36,25,30.06,29.91,29.80,10,10,8,17,13,25,0.00,6,,249
1981-3-30,57,52,48,43,39,33,69,58,47,29.88,29.70,29.53,10,5,3,23,15,46,0.00,7,Rain,244
1981-3-31,72,61,48,38,34,30,51,36,25,30.17,29.91,29.70,20,16,15,21,14,34,0.00,2,,330
1981-4-1,51,48,45,43,31,27,89,52,43,30.26,30.05,29.77,20,12,2,16,11,22,0.00,7,Fog,155
1981-4-2,57,51,45,32,32,32,60,45,37,29.95,29.70,29.54,20,17,5,21,15,34,0.00,5,Rain,310
1981-4-3,64,55,46,32,32,32,56,40,29,30.12,30.07,30.02,20,17,10,23,11,34,0.00,4,,245
1981-4-4,60,56,53,32,32,32,45,40,35,30.14,30.11,30.08,10,8,7,29,18,40,0.00,8,,244
1981-4-5,59,56,52,32,32,32,47,41,36,30.02,29.90,29.77,5,4,3,21,16,46,0.00,8,Fog-Rain,238
1981-4-6,50,43,35,32,32,30,89,64,50,30.06,29.89,29.78,20,18,7,17,15,29,0.00,5,,306
1981-4-7,60,51,41,35,30,21,70,47,22,30.28,30.23,30.17,20,19,6,18,13,23,0.00,1,,294
1981-4-8,59,52,44,43,42,40,93,69,51,30.33,30.24,30.11,20,17,6,16,12,25,0.00,2,,241
1981-4-9,61,53,45,52,49,32,100,85,58,30.11,29.99,29.91,10,8,3,23,17,44,0.00,6,Fog-Rain,246
1981-4-10,68,59,50,44,31,22,80,39,18,30.25,30.22,30.19,20,20,20,16,11,29,0.00,0,,292
1981-4-11,61,56,50,53,47,36,97,75,51,30.12,29.94,29.85,15,12,10,21,15,40,0.00,7,,251
1981-4-12,54,49,42,40,27,17,61,42,25,30.36,30.23,30.10,20,19,15,14,12,25,0.00,6,,60
1981-4-13,51,42,31,35,28,22,89,55,33,30.59,30.56,30.53,20,20,20,14,8,23,0.00,2,,81
1981-4-14,52,47,42,52,45,38,100,89,68,30.48,30.14,29.95,15,8,2,17,12,37,0.00,8,Fog-Rain,213
1981-4-15,50,44,37,27,18,12,55,35,23,30.49,30.37,30.25,20,20,20,17,14,34,0.00,0,,335
1981-4-16,50,44,37,40,33,26,82,63,48,30.54,30.37,30.28,20,17,10,17,13,40,0.00,2,,246
1981-4-17,57,54,50,51,49,46,100,87,72,30.15,29.95,29.84,15,7,3,16,11,23,0.00,8,Fog-Rain,242
1981-4-18,80,68,54,61,48,34,100,55,22,29.88,29.73,29.61,20,9,3,23,13,34,0.00,3,Fog,298
1981-4-19,64,55,46,39,29,21,76,43,20,30.06,29.98,29.91,20,20,15,17,13,26,0.00,5,,312
1981-4-20,64,52,39,40,33,26,85,55,27,29.93,29.81,29.75,15,14,10,17,11,29,0.00,6,Rain,331
1981-4-21,46,38,31,22,14,8,59,35,21,30.16,30.09,30.06,20,18,15,17,14,29,0.00,2,,341
1981-4-22,59,48,36,32,19,11,71,36,16,30.19,30.05,29.97,20,19,15,21,11,21,0.00,3,,293
1981-4-23,54,49,44,50,39,17,100,74,25,29.93,29.70,29.46,20,8,0,12,5,,0.00,8,Fog-Rain,152
1981-4-24,57,52,46,52,49,46,100,96,83,29.39,29.32,29.25,10,6,0,13,5,,0.00,8,Fog-Rain,96
1981-4-25,45,44,42,44,43,42,100,96,93,29.77,29.60,29.42,10,8,7,32,11,,0.00,8,,36
1981-4-26,63,54,45,44,40,36,86,60,37,29.88,29.84,29.80,20,20,20,14,11,,0.00,4,,294
1981-4-27,66,56,45,44,40,36,90,56,35,30.01,29.90,29.86,20,19,15,14,8,17,0.00,4,,280
1981-4-28,66,57,48,50,42,39,93,55,37,29.96,29.93,29.89,20,16,7,12,6,,0.00,7,,253
1981-4-29,62,58,53,60,57,53,100,98,90,29.75,29.63,29.56,10,3,0,17,9,23,0.00,8,Fog-Rain,238
1981-4-30,66,58,51,50,47,42,92,66,43,30.00,29.79,29.71,20,16,10,17,9,,0.00,6,Rain,270
1981-5-1,62,55,48,54,48,42,100,78,60,29.82,29.77,29.74,10,8,0,14,5,25,0.00,6,Fog,129
1981-5-2,53,50,48,50,46,38,100,86,68,29.92,29.84,29.74,15,8,4,14,10,,0.00,8,Fog-Rain,37
1981-5-3,62,54,46,44,39,32,86,54,35,30.06,30.00,29.95,20,20,20,28,16,48,0.00,4,,47
1981-5-4,52,50,48,49,46,37,100,85,57,30.06,30.02,29.97,15,8,2,29,18,40,0.00,8,Fog-Rain,40
1981-5-5,60,54,48,53,40,32,100,65,35,30.05,30.00,29.92,20,10,1,16,12,,0.00,8,Fog,40
1981-5-6,72,62,52,58,38,32,100,48,23,29.81,29.71,29.63,10,6,3,17,8,25,0.00,8,Fog,42
1981-5-7,64,54,39,42,33,23,93,51,23,30.09,29.96,29.80,20,20,20,15,10,28,0.00,0,,355
1981-5-8,64,54,39,43,33,30,86,44,30,30.36,30.30,30.24,20,20,20,10,5,,0.00,0,,170
1981-5-9,62,49,36,49,43,32,100,65,43,30.36,30.31,30.27,20,19,6,12,6,,0.00,3,,155
1981-5-10,64,58,53,58,56,52,97,85,75,30.24,30.19,30.15,15,8,5,9,5,,0.00,7,Fog,139
1981-5-11,69,63,57,60,59,57,100,85,73,30.12,30.06,30.00,15,10,6,12,8,,0.00,6,,151
1981-5-12,64,60,55,63,38,32,100,46,30,29.92,29.84,29.75,10,4,0,16,11,18,0.00,8,Fog-Rain-Thunderstorm,179
1981-5-13,66,58,51,50,46,43,80,61,43,29.97,29.89,29.86,20,16,10,16,13,32,0.00,4,,273
1981-5-14,70,59,48,59,52,43,100,72,42,30.02,29.98,29.94,20,9,2,15,7,23,0.00,5,Fog,235
1981-5-15,69,63,57,65,62,57,100,93,84,30.01,29.96,29.90,10,6,3,14,7,,0.00,8,Fog-Rain-Thunderstorm,186
