EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1980-1-1,45,36,27,29,21,13,79,59,49,29.92,29.88,29.84,20,16,15,5,1,,0.00,1,,0
1980-1-2,44,37,30,38,31,24,86,80,73,29.84,29.79,29.73,15,14,10,23,6,32,0.00,6,,20
1980-1-3,33,28,22,26,17,9,79,61,48,30.15,30.00,29.83,15,15,15,16,11,,0.00,3,,339
1980-1-4,28,22,17,21,13,6,81,66,58,30.32,30.23,30.16,15,14,10,9,4,,0.00,4,,360
1980-1-5,35,32,29,30,25,20,89,76,59,30.13,29.82,29.65,15,10,1,34,15,46,0.00,7,Fog-Snow,53
1980-1-6,28,21,13,21,15,5,75,68,51,30.25,30.06,29.76,20,16,15,23,18,34,0.00,5,,26
1980-1-7,48,30,13,44,31,6,97,83,74,30.24,29.99,29.80,20,12,3,23,8,40,0.00,6,Fog-Rain,212
1980-1-8,42,36,30,39,22,16,89,59,40,30.22,30.03,29.80,15,15,15,24,12,32,0.00,2,,286
1980-1-9,33,26,20,21,17,12,75,63,46,30.28,30.25,30.21,20,14,10,9,1,,0.00,4,,301
1980-1-10,31,27,23,19,12,5,69,55,33,30.65,30.54,30.30,20,16,15,12,8,,0.00,1,,307
1980-1-11,52,40,28,52,39,18,100,85,66,30.61,30.28,29.81,20,13,5,23,7,29,0.00,5,Fog-Rain,186
1980-1-12,55,40,26,55,28,4,100,65,37,30.34,29.88,29.53,20,13,2,25,22,40,0.00,5,Fog-Rain,273
1980-1-13,32,27,22,22,14,7,81,58,43,30.56,30.50,30.38,20,15,15,16,9,32,0.00,3,,356
1980-1-14,51,38,26,49,41,23,100,91,85,30.42,30.25,30.07,15,10,6,18,10,23,0.00,6,,115
1980-1-15,48,46,43,48,45,37,100,95,80,30.07,29.96,29.87,7,4,2,30,19,46,0.00,8,Fog-Rain,34
1980-1-16,43,40,36,36,33,31,82,78,71,30.27,30.19,30.04,10,7,4,32,24,44,0.00,8,Fog,26
1980-1-17,42,40,37,39,35,32,93,85,76,30.28,30.23,30.18,10,3,1,24,19,37,0.00,8,Fog,37
1980-1-18,43,40,37,40,39,37,97,93,86,30.19,30.08,29.97,6,2,0,16,10,23,0.00,8,Fog,10
1980-1-19,46,42,38,41,37,31,100,85,68,29.94,29.88,29.84,10,6,2,14,7,,0.00,6,Fog-Rain,326
1980-1-20,44,38,33,31,21,6,73,51,32,29.93,29.90,29.85,15,15,15,23,12,34,0.00,2,,305
1980-1-21,37,34,30,15,10,5,47,37,29,29.90,29.82,29.73,20,20,20,23,14,34,0.00,2,,290
1980-1-22,43,36,29,41,24,10,93,61,40,29.96,29.81,29.51,20,13,2,14,10,,0.00,5,Fog-Rain,234
1980-1-23,43,39,35,41,34,20,96,86,55,29.50,29.33,29.22,7,4,3,21,7,,0.00,7,Fog-Rain,311
1980-1-24,32,28,23,11,2,-2,42,34,29,29.47,29.35,29.23,15,15,15,23,19,39,0.00,2,,281
1980-1-25,33,28,24,6,4,2,43,36,31,29.64,29.55,29.46,20,17,15,17,14,29,0.00,4,,285
1980-1-26,37,32,27,11,9,7,47,40,30,29.97,29.78,29.63,20,18,15,23,15,29,0.00,1,,301
1980-1-27,39,32,25,23,16,11,67,52,40,30.04,29.97,29.91,20,17,15,16,11,,0.00,1,,311
1980-1-28,39,32,26,18,16,13,66,51,37,29.97,29.91,29.84,20,18,15,17,8,,0.00,3,,294
1980-1-29,36,32,27,15,13,10,58,47,34,30.03,29.97,29.90,15,15,15,14,10,,0.00,5,,295
1980-1-30,30,25,20,9,1,-4,45,37,29,29.99,29.96,29.90,20,15,15,23,18,34,0.00,1,,311
1980-1-31,22,19,16,1,-3,-8,46,38,30,29.99,29.87,29.77,20,16,7,12,6,,0.00,6,,336
1980-2-1,33,23,13,8,2,-3,50,44,34,29.76,29.71,29.63,20,18,15,14,10,23,0.00,4,,337
1980-2-2,31,24,18,5,3,-1,52,42,33,29.88,29.79,29.75,20,18,15,18,11,25,0.00,1,,312
1980-2-3,31,24,18,8,3,-2,50,41,34,30.00,29.93,29.88,20,20,20,16,13,,0.00,0,,297
1980-2-4,29,22,16,11,7,5,62,53,39,30.08,30.02,29.97,15,15,15,12,4,,0.00,1,,322
1980-2-5,31,24,18,15,11,5,66,56,40,30.20,30.11,30.03,15,14,5,14,7,22,0.00,4,Snow,347
1980-2-6,35,26,18,21,16,6,69,60,55,30.27,30.23,30.18,20,16,10,9,5,,0.00,5,,27
1980-2-7,37,35,32,31,27,21,85,72,60,30.14,29.92,29.81,15,7,0,34,16,50,0.00,8,Snow,46
1980-2-8,35,28,21,24,16,10,73,58,44,30.14,30.08,29.97,20,16,7,17,13,32,0.00,3,Snow,354
1980-2-9,34,26,18,18,12,6,72,56,42,30.16,30.06,29.91,20,16,15,12,4,,0.00,3,,297
1980-2-10,36,30,23,26,17,10,75,65,55,29.88,29.75,29.62,15,13,0,14,3,25,0.00,4,Snow,354
1980-2-11,33,26,18,20,11,5,84,54,38,29.97,29.88,29.82,20,17,15,12,5,,0.00,4,,271
1980-2-12,39,32,25,27,20,13,85,62,36,30.03,29.84,29.77,15,10,1,16,7,,0.00,5,Fog-Snow,300
1980-2-13,37,30,24,22,16,13,65,54,43,30.23,30.17,30.05,15,12,10,16,7,,0.00,0,,290
1980-2-14,41,32,22,24,19,11,66,57,43,30.22,30.11,29.98,15,10,7,14,4,25,0.00,3,,287
1980-2-15,39,34,28,22,18,13,67,55,40,30.09,30.00,29.88,20,17,10,14,7,,0.00,2,,304
1980-2-16,44,36,29,42,30,21,96,81,64,29.86,29.52,29.24,15,8,0,18,5,23,0.00,7,Fog-Rain-Snow,206
1980-2-17,30,26,21,20,8,3,69,48,35,29.93,29.68,29.41,20,17,15,18,14,28,0.00,0,,306
1980-2-18,32,25,18,17,10,2,57,48,40,30.20,30.07,29.93,20,16,15,21,12,25,0.00,0,,271
1980-2-19,44,36,29,31,25,15,80,62,49,30.23,30.17,30.13,20,16,15,21,12,,0.00,2,,248
1980-2-20,48,37,26,38,27,20,100,70,33,30.12,29.94,29.77,20,13,0,7,2,,0.00,4,Fog,226
1980-2-21,53,42,30,44,30,24,85,70,48,30.03,29.80,29.71,15,9,2,14,4,,0.00,3,Fog,331
1980-2-22,41,36,33,38,27,20,89,71,59,30.19,30.03,29.67,15,9,1,18,12,23,0.00,5,Fog-Rain-Snow-Thunderstorm,94
1980-2-23,46,41,36,41,36,32,97,83,68,29.90,29.74,29.63,15,7,0,12,7,,0.00,8,Fog,293
1980-2-24,43,39,35,34,32,29,89,76,61,29.95,29.92,29.88,10,6,2,16,2,,0.00,6,Fog-Snow,251
1980-2-25,41,37,33,35,25,18,93,64,42,29.98,29.88,29.67,10,8,2,7,1,,0.00,7,,55
1980-2-26,37,30,20,26,13,-6,70,50,27,29.97,29.72,29.60,20,11,3,23,14,37,0.00,5,Fog-Snow,21
1980-2-27,32,24,17,25,9,-5,82,55,33,30.02,29.86,29.64,15,10,1,14,6,21,0.00,5,Snow,247
1980-2-28,32,26,19,25,10,3,82,50,33,29.78,29.69,29.60,15,14,1,17,8,28,0.00,6,Fog-Snow,298
1980-2-29,24,20,16,4,-3,-7,44,37,29,30.13,29.88,29.76,20,17,10,23,15,23,0.00,2,,324
1980-3-1,28,18,9,3,-4,-10,43,34,24,30.27,30.20,30.14,20,18,15,21,15,,0.00,4,,304
1980-3-2,29,25,21,20,7,-3,72,50,31,30.21,30.05,29.89,20,12,2,17,12,28,0.00,6,Snow,4
1980-3-3,32,27,22,17,14,9,66,54,43,29.92,29.86,29.80,20,16,10,29,15,40,0.00,4,,24
1980-3-4,42,32,21,29,16,7,82,52,29,29.98,29.94,29.87,15,13,10,21,7,28,0.00,2,,267
1980-3-5,52,41,30,45,35,27,93,77,56,30.00,29.88,29.73,10,9,7,26,8,39,0.00,6,Rain,229
1980-3-6,46,37,27,45,26,12,100,61,27,30.27,30.00,29.71,20,14,2,23,16,46,0.00,3,Fog-Rain,282
1980-3-7,50,38,25,41,32,15,93,73,54,30.27,30.17,30.06,20,16,5,23,6,34,0.00,7,Fog-Rain,231
1980-3-8,53,46,39,53,39,32,100,81,48,30.07,29.79,29.50,6,2,0,25,8,34,0.00,6,Fog-Rain,230
1980-3-9,46,38,31,46,33,20,100,76,41,29.89,29.65,29.45,15,8,0,18,7,,0.00,3,Fog,311
