EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2004-1-1,43,36,28,25,22,18,85,52,43,30.34,30.24,30.01,10,10,10,15,9,24,0.00,3,,311
2004-1-2,37,32,28,34,30,25,100,91,78,30.31,30.20,30.12,10,5,0,8,2,,0.11,7,Fog-Snow,66
2004-1-3,48,40,33,45,38,32,100,94,87,30.17,29.97,29.86,5,3,1,6,2,,0.12,7,Rain,190
2004-1-4,48,42,37,46,40,30,100,90,58,30.01,29.91,29.84,10,4,0,10,3,,0.33,7,Fog-Rain,332
2004-1-5,37,35,33,36,32,30,100,92,87,29.99,29.90,29.83,10,5,2,14,9,,0.43,8,Rain,360
2004-1-6,36,28,19,31,20,0,100,66,38,30.12,29.98,29.84,10,9,0,22,7,30,0.00,4,Fog-Snow,295
2004-1-7,23,20,16,5,2,-3,54,47,37,30.15,30.11,30.06,10,10,10,16,11,28,0.00,1,,262
2004-1-8,25,20,15,8,3,-2,71,51,38,30.28,30.22,30.14,10,10,10,15,12,21,0.00,3,,327
2004-1-9,16,8,1,5,-8,-16,67,48,33,30.38,30.31,30.24,10,10,10,21,10,29,0.00,1,,345
2004-1-10,12,5,-2,-8,-11,-13,62,49,39,30.40,30.36,30.30,10,10,10,13,10,17,0.00,0,,336
2004-1-11,26,14,1,12,-3,-12,63,47,31,30.40,30.27,30.05,10,10,6,13,7,16,0.00,5,Snow,214
2004-1-12,34,29,24,28,22,18,91,81,64,30.05,29.96,29.86,10,5,0,9,6,,0.12,7,Fog-Snow,194
2004-1-13,41,26,10,28,17,-10,85,62,37,30.08,29.86,29.67,10,10,8,22,9,29,0.00,5,Rain-Snow,251
2004-1-14,23,12,0,-3,-17,-24,40,29,18,30.24,30.12,29.95,10,10,4,14,9,21,0.00,3,Snow,330
2004-1-15,19,8,-4,0,-7,-25,64,45,28,29.91,29.85,29.81,10,5,1,23,12,32,0.01,5,Snow,355
2004-1-16,15,6,-4,1,-9,-23,57,48,40,29.91,29.78,29.69,10,10,10,18,14,30,0.00,3,,317
2004-1-17,32,19,6,15,7,-5,87,56,38,30.02,29.95,29.88,10,10,10,12,5,18,0.00,1,,301
2004-1-18,32,29,26,31,27,12,100,89,51,29.85,29.56,29.37,10,3,0,8,4,,0.24,8,Fog-Snow,177
2004-1-19,26,22,18,11,5,3,68,49,43,29.73,29.62,29.50,10,10,10,21,12,26,0.00,1,,299
2004-1-20,24,20,16,5,3,-1,59,49,40,29.98,29.84,29.74,10,10,10,20,11,30,0.00,0,,313
2004-1-21,27,20,10,5,3,-3,80,50,34,30.07,30.02,29.96,10,10,10,10,7,,0.00,0,,310
