EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2015-1-1,36,28,21,15,8,3,51,41,31,30.17,30.06,29.95,10,10,10,13,7,24,0.00,0,,248
2015-1-2,39,34,30,20,17,15,64,48,39,30.47,30.22,30.00,10,10,10,14,7,23,0.00,2,,284
2015-1-3,39,31,25,38,26,17,97,79,52,30.61,30.45,30.09,10,6,0,13,6,20,0.56,3,Fog-Rain-Snow,89
2015-1-4,53,46,39,50,43,30,100,92,50,30.04,29.82,29.66,10,3,0,18,4,37,0.30,7,Fog-Rain,241
2015-1-5,46,32,17,28,12,-1,56,44,29,30.39,30.11,29.77,10,10,10,25,17,38,0.00,2,,295
2015-1-6,19,18,15,13,7,-1,84,66,45,30.42,30.24,30.01,10,6,1,15,7,21,0.00,4,Snow,270
2015-1-7,21,14,7,11,0,-11,81,52,31,30.25,30.03,29.90,10,10,7,29,12,41,0.00,2,,288
2015-1-8,19,12,5,0,-5,-9,58,47,38,30.42,30.33,30.21,10,10,10,26,14,36,0.00,0,,279
2015-1-9,30,24,17,18,10,-1,93,62,38,30.20,30.05,29.97,10,7,0,16,7,28,0.06,5,Fog-Snow,253
2015-1-10,21,18,14,1,-2,-4,53,44,33,30.58,30.43,30.22,10,10,10,17,9,25,0.00,0,,278
2015-1-11,34,24,14,14,6,-2,54,45,37,30.68,30.59,30.50,10,10,10,9,4,,0.00,3,,228
2015-1-12,35,34,32,34,28,13,100,82,42,30.48,30.24,30.09,10,5,0,10,3,,0.40,7,Fog-Rain,294
2015-1-13,34,22,10,24,9,0,68,59,44,30.65,30.53,30.25,10,10,10,20,14,29,0.00,2,,350
2015-1-14,28,19,10,19,12,-1,78,66,59,30.59,30.38,30.19,10,10,10,9,7,,0.00,4,,24
2015-1-15,30,24,19,18,15,13,82,66,47,30.18,30.06,29.89,10,10,7,13,7,,0.00,1,,306
2015-1-16,39,28,17,18,11,0,60,49,35,30.20,29.92,29.79,10,10,9,26,11,45,0.00,1,,288
2015-1-17,26,19,12,15,4,-4,75,53,27,30.41,30.33,30.21,10,10,10,14,8,23,0.00,0,,293
2015-1-18,42,32,23,40,31,16,100,90,69,30.23,29.95,29.66,10,5,0,10,2,,1.87,6,Fog-Rain,327
2015-1-19,39,36,34,33,25,19,89,66,50,29.86,29.79,29.70,10,10,9,25,11,37,0.00,5,,283
2015-1-20,35,32,26,22,18,12,64,56,52,30.05,29.93,29.86,10,10,10,15,11,21,0.00,3,,305
2015-1-21,34,28,21,16,9,3,58,48,27,30.19,30.14,30.06,10,10,10,10,5,18,0.00,3,,360
2015-1-22,37,32,27,23,21,16,85,68,52,30.32,30.23,30.16,10,10,7,12,6,,0.00,4,Snow,314
2015-1-23,36,28,19,25,17,13,81,59,43,30.34,30.20,29.98,10,9,4,10,5,,0.00,1,Snow,264
2015-1-24,35,32,30,32,30,23,100,89,66,29.92,29.56,29.27,10,3,0,14,5,28,0.71,7,Fog-Rain-Snow,356
2015-1-25,37,31,23,26,17,4,70,54,34,30.00,29.75,29.48,10,10,10,18,11,26,0.00,3,,301
