EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1969-1-1,34,26,14,32,14,-10,92,63,34,29.78,29.68,29.56,15,10,6,32,24,,0.04,0,,280
1969-1-2,28,23,18,8,4,0,45,41,38,29.94,29.92,29.89,15,10,6,20,15,,0.00,0,,272
1969-1-3,32,26,21,32,16,9,100,63,49,30.02,29.96,29.88,15,9,6,15,13,,0.00,0,,235
1969-1-4,30,26,21,8,7,6,55,43,35,30.10,30.07,30.03,15,10,6,9,8,,0.00,0,,275
1969-1-5,28,20,12,10,8,4,67,52,45,30.23,30.19,30.16,15,10,6,14,11,,0.00,0,,312
1969-1-6,39,25,14,32,22,8,86,71,59,30.22,30.14,30.01,10,6,3,10,7,,0.00,0,,57
1969-1-7,41,36,32,32,29,25,100,84,70,29.48,29.41,29.35,7,5,1,20,13,,0.02,0,Snow,238
1969-1-8,30,28,26,13,12,9,55,50,45,29.66,29.60,29.52,15,10,6,23,20,,0.00,0,,275
1969-1-9,28,24,21,24,21,17,85,83,81,29.65,29.57,29.52,7,6,5,7,6,,0.01,0,Rain,23
1969-1-10,28,24,21,10,9,7,60,50,43,29.76,29.74,29.72,15,10,6,20,14,,0.00,0,,273
1969-1-11,28,23,19,9,8,6,57,50,45,29.97,29.95,29.92,15,10,6,21,19,,0.00,0,,265
1969-1-12,33,26,19,14,12,8,62,51,44,30.14,30.12,30.09,15,10,6,17,12,,0.00,0,,283
1969-1-13,33,28,24,17,14,11,57,52,46,30.13,30.10,30.07,15,10,6,16,13,,0.00,0,,318
1969-1-14,37,32,28,16,13,11,58,45,36,30.07,30.05,30.03,15,10,6,21,15,,0.00,0,,318
1969-1-15,35,30,24,15,13,11,57,48,40,30.27,30.25,30.23,15,10,6,20,14,,0.00,0,,325
1969-1-16,32,25,18,16,12,8,65,54,45,30.51,30.47,30.46,15,9,6,9,8,,0.00,0,,336
1969-1-17,35,30,25,32,25,14,92,77,63,30.53,30.48,30.42,10,7,6,7,5,,0.00,0,,120
1969-1-18,41,38,34,36,33,32,92,84,79,30.26,30.18,30.11,10,7,4,13,8,,0.01,0,Fog-Rain,201
1969-1-19,43,40,34,38,31,25,92,73,53,30.26,30.20,30.14,8,6,4,15,11,,0.00,0,Fog,333
1969-1-20,41,32,23,22,19,15,72,58,41,30.46,30.41,30.37,15,8,6,8,6,,0.00,0,,20
1969-1-21,39,33,27,32,24,16,100,71,51,30.30,30.26,30.22,15,8,6,13,10,,0.00,0,,20
1969-1-22,44,36,28,32,26,20,82,63,47,30.24,30.21,30.18,10,8,6,14,13,,0.00,0,,180
1969-1-23,45,40,35,32,29,22,89,66,53,30.21,30.17,30.14,10,8,6,15,13,,0.00,0,,2
1969-1-24,43,41,39,40,35,32,89,80,73,30.05,29.99,29.92,10,5,1,12,10,,0.09,0,Fog-Rain,2
1969-1-25,41,37,32,38,31,22,100,78,54,30.06,30.05,30.02,15,9,0,20,11,,0.01,0,Fog,240
1969-1-26,27,26,23,11,5,-1,51,42,35,30.18,30.15,30.12,15,10,6,21,14,,0.00,0,,307
1969-1-27,19,17,15,0,-4,-5,51,40,34,30.45,30.40,30.33,15,10,6,23,16,,0.00,0,,308
1969-1-28,23,13,5,4,-4,-11,48,43,38,30.74,30.71,30.68,15,9,6,13,11,,0.00,0,,351
1969-1-29,28,25,23,24,18,10,82,72,58,30.65,30.59,30.51,10,6,3,6,6,,0.00,0,Fog-Snow,58
1969-1-30,36,34,32,32,31,29,92,88,85,30.33,30.26,30.16,6,5,2,12,9,,0.24,0,Fog-Rain,80
1969-1-31,48,42,32,36,32,27,100,76,46,30.11,30.02,29.87,15,9,0,21,14,,0.00,0,Fog,287
1969-2-1,34,31,28,32,28,20,100,86,72,30.10,30.00,29.89,6,5,1,5,1,,0.06,0,Fog-Snow,55
1969-2-2,37,34,30,32,26,21,96,73,55,30.12,30.09,30.07,8,7,6,8,7,,0.00,0,,27
1969-2-3,35,34,32,32,30,24,100,87,67,29.87,29.64,29.42,7,5,2,18,12,,0.09,0,Fog-Rain-Snow,61
1969-2-4,27,25,23,6,4,3,45,41,37,29.67,29.64,29.61,15,10,6,29,23,,0.00,0,,280
1969-2-5,28,25,23,5,2,1,46,38,33,29.77,29.72,29.62,15,10,6,21,20,,0.00,0,,275
1969-2-6,33,24,19,16,9,3,50,48,45,29.99,29.96,29.92,15,10,6,15,14,,0.00,0,,243
1969-2-7,35,28,21,32,16,10,100,58,37,30.02,30.00,29.97,15,10,6,15,8,,0.00,0,,8
1969-2-8,33,24,17,32,20,8,100,70,51,30.20,30.15,30.08,15,9,6,9,6,,0.00,0,,69
1969-2-9,33,30,28,32,29,25,100,92,85,29.69,29.42,29.12,6,3,0,34,20,,0.48,0,Snow,10
1969-2-10,30,28,27,17,16,15,66,60,54,29.56,29.45,29.32,15,8,5,29,24,,0.00,0,Snow,320
1969-2-11,32,20,10,32,18,2,100,72,56,29.81,29.75,29.68,15,10,6,14,7,,0.00,0,,217
1969-2-12,37,31,25,33,29,20,96,82,70,29.60,29.57,29.55,15,8,6,8,5,,0.00,0,,157
1969-2-13,33,28,24,17,16,14,65,56,48,29.81,29.77,29.74,15,9,6,16,11,,0.00,0,,283
1969-2-14,26,20,15,6,5,3,59,49,43,30.12,30.10,30.09,15,10,6,23,17,,0.00,0,,310
1969-2-15,30,22,15,10,6,1,54,47,43,30.15,30.10,30.05,15,10,6,17,14,,0.00,0,,300
1969-2-16,30,22,15,19,10,3,64,53,43,30.08,30.03,29.98,15,10,6,9,6,,0.00,0,,245
1969-2-17,34,24,19,15,9,5,52,47,43,30.07,30.05,30.03,15,10,6,14,11,,0.00,0,,358
1969-2-18,36,32,28,32,23,13,89,68,53,30.04,30.00,29.92,15,9,6,20,15,,0.00,0,,5
1969-2-19,37,36,34,32,31,27,92,80,70,29.86,29.84,29.83,15,8,6,20,19,,0.02,0,Rain,2
1969-2-20,36,36,32,32,29,24,100,78,62,30.16,30.14,30.09,15,9,6,16,12,,0.01,0,,20
1969-2-21,39,38,34,32,29,26,92,73,60,30.37,30.35,30.33,15,9,6,16,12,,0.00,0,,13
1969-2-22,35,34,32,32,29,25,100,81,72,30.39,30.37,30.34,7,6,6,8,6,,0.00,0,,15
1969-2-23,35,34,33,32,29,24,96,83,70,30.25,30.21,30.17,8,7,6,12,9,,0.04,0,Rain,80
1969-2-24,33,32,32,32,30,27,100,90,78,29.94,29.88,29.83,6,5,1,21,18,,0.19,0,Fog-Snow,2
