EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1997-1-1,24,17,10,,,,,,,30.49,30.32,30.15,20,20,15,17,12,,0.00,7,,15
1997-1-2,39,36,33,,,,,,,29.89,29.80,29.74,8,6,6,12,5,,0.00,8,,262
1997-1-3,53,48,44,,,,,,,29.78,29.65,29.59,6,4,2,9,5,,0.00,8,Rain,252
1997-1-4,48,45,41,,,,,,,30.03,30.01,29.97,15,10,5,12,6,,0.00,7,,93
1997-1-5,51,48,44,,,,,,,29.78,29.58,29.47,0,0,0,17,7,,0.00,,Fog-Rain,129
1997-1-6,48,44,37,32,32,32,61,61,61,29.80,29.67,29.55,20,20,15,21,15,32,0.00,3,,298
1997-1-7,37,34,30,,,,,,,29.87,29.84,29.75,20,18,8,21,15,33,0.00,5,,301
1997-1-8,37,34,30,,,,,,,30.09,29.98,29.90,20,20,15,17,14,34,0.00,1,,328
1997-1-9,33,30,26,18,18,18,60,60,60,30.08,29.88,29.58,20,15,3,9,8,,0.00,8,Rain-Snow,23
1997-1-10,42,38,35,,,,,,,29.58,29.37,29.23,20,15,4,18,13,34,0.00,5,Rain,272
1997-1-11,33,30,24,,,,,,,29.89,29.66,29.49,20,15,0,21,11,32,0.00,5,Fog-Snow,304
1997-1-12,30,24,19,,,,,,,30.13,30.06,30.00,20,19,8,17,15,23,0.00,1,,294
1997-1-13,35,28,21,,,,,,,30.24,30.20,30.16,20,20,20,18,12,,0.00,1,,311
1997-1-14,35,30,24,,,,,,,30.33,30.27,30.24,20,20,15,17,10,23,0.00,3,,318
1997-1-15,37,30,23,,,,,,,30.33,30.24,30.09,20,14,8,14,9,,0.00,4,,244
1997-1-16,48,42,35,,,,,,,29.66,29.42,29.31,20,12,2,18,13,30,0.00,6,Rain,250
1997-1-17,19,16,12,,,,,,,29.97,29.91,29.78,20,19,8,21,16,30,0.00,4,,292
1997-1-18,19,14,8,,,,,,,30.14,29.96,29.88,20,20,20,18,13,28,0.00,5,,323
1997-1-19,21,12,3,,,,,,,30.20,30.12,30.08,15,14,8,14,11,23,0.00,3,,286
1997-1-20,33,27,21,,,,,,,30.00,29.93,29.86,20,15,10,140,14,23,0.00,5,,258
1997-1-21,37,32,26,,,,,,,30.49,30.41,30.23,20,19,8,14,11,21,0.00,1,,332
