EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1975-1-1,42,38,34,37,35,32,100,88,76,29.92,29.79,29.74,6,6,6,13,7,,0.03,0,Rain,311
1975-1-2,37,35,30,27,21,15,70,58,41,30.35,30.15,29.77,6,6,6,17,15,,0.00,0,,320
1975-1-3,37,32,26,30,22,15,73,66,54,30.31,30.16,29.94,6,6,6,12,7,,0.00,0,Rain-Snow,265
1975-1-4,46,42,37,31,28,25,79,63,46,30.08,29.96,29.83,6,6,6,13,9,,0.00,0,,283
1975-1-5,39,37,33,27,25,19,72,63,51,30.43,30.26,30.09,6,6,6,10,8,,0.00,0,,321
1975-1-6,39,34,28,34,25,20,86,70,55,30.51,30.39,30.19,6,6,6,12,7,,0.00,0,Rain,83
1975-1-7,45,40,36,41,35,30,100,83,60,30.20,30.06,29.98,6,6,6,13,10,,0.16,0,Rain,343
1975-1-8,46,41,37,42,34,30,86,74,62,30.25,30.17,30.03,6,6,6,14,6,,0.00,0,Rain,121
1975-1-9,48,44,41,47,42,36,100,90,73,30.12,29.84,29.59,6,6,6,15,10,,0.42,0,Rain,41
1975-1-10,46,42,39,45,39,34,97,87,79,30.27,30.21,30.15,6,6,6,13,7,,0.00,0,,88
1975-1-11,62,54,48,60,55,47,100,96,93,30.12,29.92,29.78,6,6,6,15,10,,0.02,0,Rain,126
1975-1-12,59,52,43,38,26,16,65,40,25,30.24,30.12,29.99,6,6,6,10,8,,0.00,0,Rain,360
1975-1-13,39,36,30,36,34,30,100,96,86,29.97,29.85,29.74,6,6,6,12,8,,0.26,0,Rain-Snow,29
1975-1-14,28,26,21,23,16,12,81,71,61,30.08,29.94,29.82,6,6,6,13,10,,0.00,0,Snow,333
1975-1-15,27,22,17,16,11,8,71,62,49,30.18,30.13,30.08,6,6,6,10,9,,0.00,0,,311
1975-1-16,36,32,27,24,20,17,72,64,54,30.21,30.14,30.08,6,6,6,14,10,,0.00,0,,303
1975-1-17,30,26,23,19,11,7,72,53,41,30.58,30.45,30.18,6,6,6,15,11,,0.00,0,,326
1975-1-18,44,36,27,43,30,11,97,79,51,30.57,30.18,29.82,6,6,6,17,9,,0.23,0,Rain,139
1975-1-19,50,44,37,39,36,32,97,81,52,29.91,29.85,29.82,6,6,6,12,9,,0.05,0,Rain,294
1975-1-20,37,28,18,36,18,4,96,75,54,30.20,30.00,29.82,6,6,6,22,13,,0.11,0,Rain-Snow,29
1975-1-21,32,23,16,28,18,5,85,78,62,30.47,30.42,30.30,6,6,6,10,9,,0.00,0,,41
1975-1-22,43,36,30,30,28,26,92,77,58,30.42,30.38,30.34,6,6,6,12,9,,0.00,0,,338
1975-1-23,41,36,32,31,25,20,79,65,58,30.47,30.38,30.27,6,6,6,16,6,,0.00,0,,134
1975-1-24,50,42,33,36,32,31,92,74,48,30.22,30.08,29.95,6,6,6,9,8,,0.00,0,,207
1975-1-25,53,46,39,53,42,36,100,90,73,29.87,29.50,29.14,6,6,6,14,6,,0.10,0,Rain,93
1975-1-26,44,42,37,30,23,19,60,48,41,29.70,29.38,29.24,6,6,6,23,14,,0.00,0,,268
1975-1-27,39,36,33,23,20,16,61,53,43,30.26,30.07,29.80,6,6,6,20,11,,0.00,0,,326
1975-1-28,41,38,35,24,22,20,59,53,49,30.33,30.28,30.24,6,6,6,7,5,,0.00,0,,69
1975-1-29,54,44,36,47,37,28,97,82,38,30.17,29.78,29.43,6,6,6,18,7,,0.23,0,Rain,45
1975-1-30,44,39,32,27,20,16,59,51,43,30.32,30.11,29.71,6,6,6,22,15,,0.00,0,,347
1975-1-31,32,30,28,25,22,17,82,70,57,30.46,30.37,30.31,6,6,6,6,4,,0.00,0,Snow,9
1975-2-1,36,33,30,22,18,15,69,55,44,30.47,30.45,30.41,6,6,6,7,4,,0.00,0,Snow,2
1975-2-2,37,32,27,11,8,5,45,38,26,30.48,30.42,30.35,6,6,6,10,8,,0.00,0,,14
1975-2-3,39,32,25,17,11,1,69,46,27,30.54,30.43,30.40,6,6,6,18,12,,0.00,0,,345
1975-2-4,27,23,19,9,7,4,51,47,39,30.73,30.62,30.49,6,6,6,13,9,,0.00,0,,53
1975-2-5,33,30,26,33,30,22,100,95,84,30.41,30.00,29.72,6,6,6,16,11,,0.13,0,Rain-Snow,52
1975-2-6,43,38,32,36,33,31,96,84,67,29.68,29.64,29.61,6,6,6,13,7,,0.03,0,Rain-Snow,307
1975-2-7,39,36,28,32,25,15,82,64,48,29.97,29.79,29.68,6,6,6,13,8,,0.00,0,,340
1975-2-8,35,28,21,20,13,7,63,51,46,30.10,30.06,30.03,6,6,6,12,10,,0.00,0,,258
1975-2-9,35,30,21,24,18,8,81,60,51,30.18,29.99,29.86,6,6,6,13,6,,0.01,0,,4
1975-2-10,27,22,16,7,6,4,65,52,43,30.34,30.25,30.18,6,6,6,12,7,,0.00,0,,330
1975-2-11,37,32,26,29,20,6,76,60,43,30.15,29.99,29.88,6,6,6,9,7,,0.00,0,,4
1975-2-12,30,26,19,22,19,16,96,83,69,30.02,29.86,29.74,6,6,6,15,11,,0.23,0,Snow,29
1975-2-13,30,27,24,25,14,8,92,61,41,29.87,29.79,29.71,6,6,6,23,10,,0.00,0,,330
1975-2-14,37,29,21,20,16,10,74,60,48,30.13,30.02,29.90,6,6,6,12,10,,0.00,0,,332
1975-2-15,41,34,28,30,24,20,79,65,51,30.32,30.25,30.19,6,6,6,10,7,,0.00,0,,46
1975-2-16,44,40,36,41,37,26,96,86,67,30.20,30.08,30.01,6,6,6,13,6,,0.00,0,,324
1975-2-17,41,39,37,37,34,30,96,82,76,30.17,30.10,30.03,6,6,6,15,9,,0.10,0,,65
1975-2-18,46,40,34,41,38,34,100,93,79,30.00,29.89,29.78,6,6,6,12,8,,0.02,0,,44
1975-2-19,50,46,39,43,37,26,100,78,58,29.76,29.66,29.60,6,6,6,14,7,,0.11,0,,343
1975-2-20,46,41,36,26,25,23,64,56,46,30.02,29.95,29.81,6,6,6,12,9,,0.00,0,,322
1975-2-21,50,42,33,25,24,23,70,51,35,30.31,30.16,30.03,6,6,6,16,9,,0.00,0,,335
1975-2-22,57,48,39,31,29,27,63,50,33,30.37,30.27,30.15,6,6,6,12,6,,0.00,0,,235
1975-2-23,51,48,44,50,44,28,100,88,52,30.07,29.90,29.79,6,6,6,10,7,,0.13,0,,16
1975-2-24,46,44,42,46,43,42,100,99,96,29.83,29.74,29.59,6,6,6,20,12,,0.28,0,,55
1975-2-25,48,45,42,47,34,24,96,67,38,29.60,29.50,29.36,6,6,6,18,10,,0.01,0,,209
1975-2-26,50,44,39,26,19,15,51,37,26,29.91,29.79,29.64,6,6,6,21,15,,0.00,0,,296
1975-2-27,46,41,36,21,19,18,52,42,34,29.99,29.95,29.87,6,6,6,15,11,,0.00,0,,325
1975-2-28,43,36,30,34,24,18,79,59,48,30.07,29.92,29.71,6,6,6,13,9,,0.00,0,,75
1975-3-1,44,40,34,34,23,13,89,59,30,29.67,29.62,29.55,6,6,6,13,9,,0.00,0,,348
1975-3-2,36,32,28,19,16,12,59,51,41,29.64,29.52,29.44,6,6,6,17,8,,0.00,0,,353
1975-3-3,33,30,26,15,12,9,61,50,38,29.83,29.69,29.56,6,6,6,20,13,,0.00,0,,333
1975-3-4,37,29,21,13,10,8,58,46,32,30.05,29.93,29.85,6,6,6,18,13,,0.00,0,,340
1975-3-5,43,35,27,18,15,14,61,47,31,30.21,30.16,30.11,6,6,6,8,6,,0.00,0,,312
1975-3-6,55,45,35,32,28,21,79,53,38,30.19,30.07,29.96,6,6,6,14,8,,0.00,0,,239
1975-3-7,53,46,39,46,35,28,96,68,47,30.11,29.88,29.48,6,6,6,18,8,,0.06,0,Rain,90
