EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-1-1,33,29,25,28,24,21,88,82,70,29.99,29.88,29.65,10,7,2,6,4,,0.00,8,Snow,324
2010-1-2,30,26,21,27,22,10,86,80,63,29.63,29.49,29.24,7,2,0,25,9,37,0.09,8,Snow,336
2010-1-3,28,21,15,21,14,9,81,75,61,29.38,29.24,29.15,10,3,0,20,14,33,0.02,8,Snow,294
2010-1-4,33,28,18,19,16,12,78,62,50,29.61,29.52,29.40,10,10,10,15,9,22,0.00,4,,290
2010-1-5,30,23,16,18,15,10,80,67,54,29.62,29.59,29.55,10,10,10,12,4,18,0.00,7,,274
2010-1-6,32,26,19,16,14,11,71,60,48,29.63,29.59,29.55,10,10,10,16,8,22,0.00,3,,295
2010-1-7,39,32,24,18,16,13,71,57,43,29.80,29.73,29.63,10,10,10,13,8,24,0.00,0,,281
2010-1-8,27,21,15,20,17,11,86,77,66,29.80,29.71,29.63,10,7,2,9,3,,0.00,7,Snow,320
2010-1-9,27,20,12,11,3,-7,71,48,30,30.14,29.96,29.78,10,10,10,16,8,23,0.00,1,,319
2010-1-10,28,14,0,-1,-5,-9,79,47,21,30.20,30.14,30.11,10,10,10,10,4,,0.00,0,,311
2010-1-11,34,18,1,15,8,-4,80,63,46,30.10,30.04,29.98,10,10,10,13,3,,0.00,1,,275
2010-1-12,32,24,15,17,11,-1,69,56,43,30.05,29.97,29.88,10,10,10,15,7,28,0.00,4,,297
2010-1-13,28,18,8,16,2,-9,74,49,22,30.15,30.09,30.04,10,10,7,15,6,21,0.00,4,,296
2010-1-14,36,22,9,25,13,4,88,65,33,30.29,30.22,30.16,10,10,8,6,1,,0.00,1,,179
2010-1-15,45,36,28,28,25,21,79,64,45,30.14,30.07,29.98,10,10,7,17,7,23,0.00,4,,252
2010-1-16,46,35,24,27,24,20,85,64,42,30.14,30.08,29.99,10,10,10,13,5,28,0.00,0,,258
2010-1-17,42,32,21,36,28,19,93,80,57,30.19,30.05,29.78,10,8,4,12,3,20,0.45,5,Rain,91
2010-1-18,35,32,30,34,29,26,93,85,78,29.96,29.72,29.57,10,5,1,21,12,34,0.86,8,Rain-Snow,13
2010-1-19,35,32,30,33,30,27,96,90,80,29.99,29.91,29.84,10,4,1,6,0,26,0.21,8,Rain-Snow,302
2010-1-20,37,34,30,31,28,23,93,81,65,30.01,29.87,29.83,10,9,4,13,4,21,0.00,7,Snow,319
2010-1-21,41,31,21,22,19,17,85,67,40,30.19,30.13,30.03,10,10,10,10,5,,0.00,0,,308
2010-1-22,37,26,16,26,20,12,88,71,57,30.11,30.02,29.94,10,10,9,15,4,24,0.00,2,,22
2010-1-23,37,27,17,17,9,1,81,52,23,30.30,30.23,30.12,10,10,10,7,3,,0.00,0,,6
2010-1-24,41,28,14,33,23,10,86,74,57,30.29,30.18,30.01,10,10,9,10,1,,0.00,5,,190
2010-1-25,59,48,36,55,49,32,96,87,77,29.98,29.53,29.29,10,6,1,30,10,60,1.24,8,Rain,170
2010-1-26,48,38,27,41,28,20,89,65,38,29.76,29.54,29.36,10,10,8,18,9,25,0.03,5,Rain,262
2010-1-27,42,32,23,23,20,17,88,63,41,30.12,29.96,29.77,10,10,9,14,4,,0.00,3,Snow,272
2010-1-28,35,28,19,30,22,0,93,77,42,30.11,29.90,29.77,10,6,0,29,5,40,0.03,8,Fog-Snow,232
2010-1-29,19,14,10,-1,-9,-12,44,34,27,30.13,30.05,29.96,10,10,9,29,19,39,0.00,3,Snow,285
2010-1-30,21,13,5,0,-5,-14,44,40,35,30.20,30.12,30.00,10,10,10,15,9,28,0.00,0,,316
2010-1-31,28,19,10,3,-1,-9,49,40,31,30.05,30.01,29.98,10,10,10,15,7,28,0.00,1,,300
2010-2-1,33,26,19,8,5,2,52,42,27,30.19,30.12,30.03,10,10,10,20,8,45,0.00,1,,260
2010-2-2,30,22,14,16,9,7,74,54,38,30.29,30.22,30.14,10,10,10,7,3,,0.00,3,,250
2010-2-3,30,26,23,22,20,16,93,74,59,30.13,30.05,29.97,10,7,2,8,1,,0.00,7,Snow,322
2010-2-4,33,24,16,16,5,-7,84,45,19,30.28,30.19,30.05,10,10,9,17,7,79,0.00,0,,300
2010-2-5,35,22,9,13,8,-2,84,51,30,30.27,30.17,30.05,10,10,10,12,3,22,0.00,0,,317
2010-2-6,25,22,18,12,5,-3,74,52,30,30.04,29.87,29.70,10,9,2,14,8,84,0.00,4,Snow,9
2010-2-7,32,22,12,8,5,0,62,48,34,29.78,29.73,29.67,10,10,10,20,11,28,0.00,0,,308
2010-2-8,34,26,19,9,8,7,60,48,34,29.90,29.79,29.74,10,10,10,18,11,29,0.00,0,,289
2010-2-9,39,29,19,21,13,7,78,54,35,29.98,29.91,29.80,10,10,10,14,9,25,0.00,1,,295
2010-2-10,35,30,26,32,26,19,93,81,60,29.77,29.32,29.17,10,4,1,22,8,36,0.18,8,Snow,30
2010-2-11,39,34,28,20,17,9,64,51,40,29.61,29.43,29.23,10,10,10,16,11,24,0.00,2,,334
2010-2-12,37,29,21,9,5,0,53,38,20,29.73,29.69,29.62,10,10,10,14,8,21,0.00,0,,295
2010-2-13,36,25,14,13,9,2,71,46,38,29.67,29.46,29.32,10,10,10,12,6,21,0.00,1,,292
2010-2-14,39,32,25,19,15,12,60,51,41,29.56,29.42,29.32,10,10,10,20,11,32,0.00,4,,277
2010-2-15,37,31,24,20,17,15,81,55,43,29.73,29.65,29.56,10,10,10,18,10,68,0.00,4,,270
2010-2-16,34,30,27,31,27,21,93,86,75,29.68,29.42,29.26,10,3,0,15,5,23,0.35,8,Fog-Snow,3
2010-2-17,36,30,24,27,21,19,86,68,54,29.48,29.42,29.36,10,10,3,14,10,22,0.00,5,Snow,274
2010-2-18,45,38,32,25,23,20,69,59,44,29.48,29.40,29.35,10,10,10,22,10,30,0.00,4,,284
2010-2-19,42,36,30,22,20,17,61,53,41,29.76,29.57,29.47,10,10,8,22,11,38,0.00,2,,290
