EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1997-1-1,23,13,3,16,-2,-11,74,48,30,30.46,30.33,30.07,10,10,3,13,8,,0.00,1,Snow,328
1997-1-2,37,30,23,32,29,20,96,86,79,30.03,29.82,29.73,10,8,1,12,4,,0.11,7,Rain-Snow,251
1997-1-3,51,42,34,45,39,32,100,92,80,29.85,29.67,29.56,9,5,0,10,5,,0.02,6,Fog-Rain,238
1997-1-4,45,40,34,36,35,33,100,88,63,30.05,29.99,29.86,10,6,0,9,3,,0.00,7,,98
1997-1-5,52,46,39,50,44,37,100,96,89,29.94,29.64,29.42,10,6,0,15,4,,0.03,8,Fog-Rain,240
1997-1-6,51,42,32,48,29,17,100,61,48,29.77,29.60,29.43,10,10,3,21,11,26,0.00,2,,293
1997-1-7,34,30,26,14,11,5,56,45,32,29.81,29.77,29.69,10,10,10,22,13,34,0.00,1,,288
1997-1-8,33,29,25,12,9,5,58,45,35,30.01,29.87,29.78,10,10,10,24,18,36,0.00,0,,310
1997-1-9,33,28,24,32,17,12,96,63,50,30.03,29.86,29.46,10,9,2,15,8,,0.13,3,Rain-Snow,336
1997-1-10,45,40,32,43,27,15,96,69,43,29.57,29.34,29.19,10,10,7,30,14,38,0.09,5,Rain,236
1997-1-11,34,26,19,27,15,4,96,61,43,29.84,29.61,29.45,10,8,0,18,8,23,0.27,4,Fog-Snow,286
1997-1-12,28,22,16,9,6,3,59,51,45,30.03,29.97,29.86,10,10,10,18,13,25,0.00,0,,269
1997-1-13,36,28,21,18,14,8,63,56,46,30.19,30.12,30.04,10,10,10,13,10,21,0.00,0,,301
1997-1-14,33,24,15,17,14,12,88,63,46,30.29,30.21,30.16,10,10,10,17,8,24,0.00,0,,296
1997-1-15,36,28,19,24,17,13,82,68,46,30.29,30.21,30.01,10,10,10,14,8,,0.00,0,,250
1997-1-16,50,39,28,48,35,20,93,82,56,29.99,29.51,29.25,10,8,2,24,13,34,0.81,6,Rain-Snow,220
1997-1-17,27,18,10,8,-7,-15,49,37,24,29.93,29.80,29.46,10,10,10,31,17,39,0.00,1,,286
1997-1-18,16,11,6,-5,-8,-16,58,44,33,30.07,29.93,29.86,10,10,10,15,12,21,0.00,0,,307
1997-1-19,18,9,0,0,-8,-19,52,44,32,30.13,30.07,30.02,10,10,10,15,10,,0.00,0,,285
1997-1-20,34,26,17,20,12,-3,69,54,40,30.00,29.92,29.83,10,10,10,21,13,29,0.00,4,,246
1997-1-21,37,31,23,19,10,2,72,48,23,30.47,30.29,29.94,10,10,10,16,9,24,0.00,0,,322
1997-1-22,50,38,27,47,33,14,90,73,54,30.41,30.13,29.80,10,10,9,23,13,34,0.30,5,Rain,220
1997-1-23,50,38,24,46,29,0,93,64,34,30.43,29.97,29.74,10,10,7,21,13,28,0.05,5,Rain,307
1997-1-24,34,25,17,32,14,-1,92,63,35,30.69,30.52,30.21,10,10,6,15,12,,0.10,6,Rain,61
1997-1-25,53,44,36,51,43,24,97,86,53,30.15,29.76,29.62,10,7,2,32,14,41,1.41,7,Rain,219
1997-1-26,35,27,19,20,7,0,54,41,32,30.57,30.21,29.79,10,10,10,24,14,37,0.00,1,,309
1997-1-27,34,24,15,31,5,-9,89,48,24,30.74,30.63,30.35,10,10,2,16,7,21,0.00,4,Snow,130
1997-1-28,50,38,25,47,28,6,97,71,41,30.30,30.06,29.83,10,8,4,39,17,51,0.76,4,Rain,260
1997-1-29,30,24,18,11,3,-4,60,41,24,30.57,30.45,30.25,10,10,10,16,9,26,0.00,0,,309
1997-1-30,30,22,15,23,10,-1,92,61,45,30.62,30.48,30.24,10,9,2,10,8,,0.00,4,Snow,36
1997-1-31,30,26,21,30,25,20,100,94,85,30.20,29.96,29.75,10,4,0,14,8,,0.00,8,Fog,13
1997-2-1,46,38,30,39,33,26,100,82,62,29.93,29.74,29.65,10,7,0,14,7,22,0.03,6,Fog-Rain,251
1997-2-2,45,38,30,30,25,22,82,64,40,30.24,30.15,29.95,10,10,10,9,6,,0.00,2,,289
1997-2-3,42,38,34,38,33,28,89,83,73,30.48,30.29,30.22,10,10,7,17,6,23,0.02,8,Rain,228
1997-2-4,35,32,30,31,25,22,89,73,59,30.63,30.55,30.35,10,10,6,13,10,,0.02,6,Rain-Snow,63
1997-2-5,51,43,35,49,40,28,97,88,65,30.30,29.93,29.78,10,8,3,18,11,29,0.92,6,Rain,238
1997-2-6,44,38,30,29,25,19,73,60,43,30.12,30.01,29.89,10,10,10,14,9,,0.00,4,,293
1997-2-7,37,30,23,21,19,18,85,61,45,30.30,30.20,30.12,10,10,10,12,6,20,0.00,2,,291
1997-2-8,32,29,26,27,19,4,85,65,31,30.35,30.28,30.22,10,10,5,20,10,25,0.00,5,Snow,29
1997-2-9,39,31,23,15,7,1,63,41,21,30.19,30.15,30.10,10,10,10,18,13,28,0.00,2,,342
1997-2-10,41,30,19,17,11,6,60,45,32,30.18,30.12,30.08,10,10,10,12,6,,0.00,0,,311
1997-2-11,34,31,28,29,24,17,89,79,57,30.17,30.12,30.09,10,7,1,17,11,25,0.00,8,Snow,15
1997-2-12,37,30,24,27,24,21,100,78,52,30.16,30.07,29.99,10,8,0,15,5,20,0.05,4,Fog-Snow,245
1997-2-13,34,30,26,27,7,-5,82,42,19,30.65,30.47,30.08,10,10,10,23,12,30,0.00,1,,8
1997-2-14,50,38,26,49,32,15,97,84,61,30.59,30.18,29.82,10,7,1,16,8,21,0.56,8,Rain-Snow,156
1997-2-15,45,38,30,36,29,21,96,73,42,30.09,29.92,29.84,10,10,7,16,7,22,0.03,3,Rain,282
1997-2-16,35,31,27,25,15,10,88,53,37,30.39,30.31,30.12,10,9,2,16,8,24,0.01,3,Snow,319
1997-2-17,28,24,19,25,17,12,92,73,53,30.53,30.43,30.25,10,7,1,24,14,32,0.03,5,Snow,6
1997-2-18,48,39,30,31,26,20,67,55,41,30.48,30.24,30.05,10,10,10,23,16,33,0.00,2,,229
1997-2-19,64,54,45,42,33,30,77,46,30,30.04,29.89,29.75,10,10,10,21,13,26,0.07,2,Rain,246
1997-2-20,46,40,33,40,21,15,77,50,29,30.43,30.27,29.86,10,10,10,25,13,43,0.00,0,,284
1997-2-21,57,44,32,53,43,26,97,85,72,30.34,30.01,29.69,10,10,7,24,12,36,0.00,6,Rain,214
1997-2-22,63,49,34,54,41,18,97,67,34,29.95,29.66,29.49,10,9,5,28,16,38,0.00,3,,255
1997-2-23,41,34,28,24,14,8,67,43,28,30.33,30.23,29.99,10,10,10,17,11,22,0.00,1,,280
1997-2-24,44,34,23,24,15,0,75,46,26,30.32,30.24,30.14,10,10,10,22,10,32,0.00,1,,288
1997-2-25,28,22,16,10,-2,-6,53,35,23,30.36,30.29,30.22,10,10,10,18,12,30,0.00,0,,297
