EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1971-1-1,35,20,4,,,,,,,,,,,,,,,,0.00,,,
1971-1-2,36,29,22,,,,,,,,,,,,,,,,0.60,,,
1971-1-3,35,28,22,,,,,,,,,,,,,,,,0.00,,,
1971-1-4,41,25,9,,,,,,,,,,,,,,,,0.00,,,
1971-1-5,50,36,21,,,,,,,,,,,,,,,,0.37,,,
1971-1-6,52,39,26,,,,,,,,,,,,,,,,0.14,,,
1971-1-7,34,26,17,,,,,,,,,,,,,,,,0.00,,,
1971-1-8,30,21,12,,,,,,,,,,,,,,,,0.00,,,
1971-1-9,25,15,5,,,,,,,,,,,,,,,,0.00,,,
1971-1-10,30,18,5,,,,,,,,,,,,,,,,0.00,,,
1971-1-11,37,28,20,,,,,,,,,,,,,,,,0.00,,,
1971-1-12,42,32,23,,,,,,,,,,,,,,,,0.00,,,
1971-1-13,40,21,2,,,,,,,,,,,,,,,,0.00,,,
1971-1-14,23,13,3,,,,,,,,,,,,,,,,0.06,,,
1971-1-15,33,19,5,,,,,,,,,,,,,,,,0.20,,,
1971-1-16,35,20,5,,,,,,,,,,,,,,,,0.00,,,
1971-1-17,12,2,-8,,,,,,,,,,,,,,,,0.00,,,
1971-1-18,18,4,-10,,,,,,,,,,,,,,,,0.00,,,
1971-1-19,22,8,-7,,,,,,,,,,,,,,,,0.00,,,
1971-1-20,13,2,-8,,,,,,,,,,,,,,,,0.00,,,
1971-1-21,15,8,2,,,,,,,,,,,,,,,,0.00,,,
1971-1-22,34,19,4,,,,,,,,,,,,,,,,0.00,,,
1971-1-23,41,26,12,,,,,,,,,,,,,,,,0.00,,,
1971-1-24,38,24,10,,,,,,,,,,,,,,,,0.05,,,
1971-1-25,42,32,21,,,,,,,,,,,,,,,,0.05,,,
1971-1-26,40,35,30,,,,,,,,,,,,,,,,0.00,,,
1971-1-27,45,28,12,,,,,,,,,,,,,,,,0.41,,,
1971-1-28,20,10,0,,,,,,,,,,,,,,,,0.00,,,
1971-1-29,20,11,2,,,,,,,,,,,,,,,,0.00,,,
1971-1-30,43,26,10,,,,,,,,,,,,,,,,0.42,,,
1971-1-31,45,28,12,,,,,,,,,,,,,,,,0.09,,,
1971-2-1,23,12,0,,,,,,,,,,,,,,,,0.00,,,
1971-2-2,17,8,0,,,,,,,,,,,,,,,,0.00,,,
1971-2-3,17,6,-6,,,,,,,,,,,,,,,,0.00,,,
1971-2-4,20,8,-5,,,,,,,,,,,,,,,,0.00,,,
1971-2-5,23,10,-2,,,,,,,,,,,,,,,,0.14,,,
1971-2-6,45,34,23,,,,,,,,,,,,,,,,0.69,,,
1971-2-7,45,30,16,,,,,,,,,,,,,,,,0.00,,,
1971-2-8,40,28,16,,,,,,,,,,,,,,,,1.07,,,
1971-2-9,44,38,31,,,,,,,,,,,,,,,,0.56,,,
1971-2-10,38,28,17,,,,,,,,,,,,,,,,0.00,,,
1971-2-11,28,20,12,,,,,,,,,,,,,,,,0.00,,,
1971-2-12,38,26,15,,,,,,,,,,,,,,,,0.00,,,
1971-2-13,51,42,34,,,,,,,,,,,,,,,,0.00,,,
1971-2-14,57,46,36,,,,,,,,,,,,,,,,0.97,,,
1971-2-15,38,30,22,,,,,,,,,,,,,,,,0.00,,,
1971-2-16,35,25,15,,,,,,,,,,,,,,,,0.00,,,
1971-2-17,38,26,14,,,,,,,,,,,,,,,,0.00,,,
1971-2-18,40,30,19,,,,,,,,,,,,,,,,0.15,,,
1971-2-19,46,38,31,,,,,,,,,,,,,,,,0.00,,,
1971-2-20,48,36,23,,,,,,,,,,,,,,,,0.00,,,
1971-2-21,38,32,26,,,,,,,,,,,,,,,,0.27,,,
1971-2-22,36,32,27,,,,,,,,,,,,,,,,0.00,,,
1971-2-23,35,32,29,,,,,,,,,,,,,,,,0.35,,,
1971-2-24,36,30,24,,,,,,,,,,,,,,,,0.32,,,
1971-2-25,30,22,15,,,,,,,,,,,,,,,,0.00,,,
1971-2-26,39,29,19,,,,,,,,,,,,,,,,0.00,,,
1971-2-27,47,36,26,,,,,,,,,,,,,,,,0.12,,,
1971-2-28,48,41,34,,,,,,,,,,,,,,,,0.38,,,
1971-3-1,53,40,28,,,,,,,,,,,,,,,,0.00,,,
1971-3-2,51,36,20,,,,,,,,,,,,,,,,0.00,,,
1971-3-3,42,34,26,,,,,,,,,,,,,,,,0.00,,,
1971-3-4,42,36,31,,,,,,,,,,,,,,,,1.15,,,
1971-3-5,49,37,25,,,,,,,,,,,,,,,,0.00,,,
1971-3-6,39,32,25,,,,,,,,,,,,,,,,0.00,,,
1971-3-7,45,34,23,,,,,,,,,,,,,,,,0.00,,,
1971-3-8,46,38,30,,,,,,,,,,,,,,,,0.39,,,
1971-3-9,37,30,22,,,,,,,,,,,,,,,,0.00,,,
1971-3-10,37,28,20,,,,,,,,,,,,,,,,0.00,,,
1971-3-11,44,34,23,,,,,,,,,,,,,,,,0.23,,,
1971-3-12,35,31,27,,,,,,,,,,,,,,,,0.44,,,
1971-3-13,44,33,22,,,,,,,,,,,,,,,,0.00,,,
1971-3-14,45,38,32,,,,,,,,,,,,,,,,0.13,,,
1971-3-15,40,36,32,,,,,,,,,,,,,,,,0.00,,,
1971-3-16,58,48,38,,,,,,,,,,,,,,,,0.04,,,
1971-3-17,63,44,25,,,,,,,,,,,,,,,,0.00,,,
1971-3-18,45,36,27,,,,,,,,,,,,,,,,0.00,,,
1971-3-19,43,31,19,,,,,,,,,,,,,,,,0.00,,,
1971-3-20,46,38,30,,,,,,,,,,,,,,,,0.91,,,
1971-3-21,47,40,32,,,,,,,,,,,,,,,,0.00,,,
1971-3-22,43,36,28,,,,,,,,,,,,,,,,0.00,,,
1971-3-23,50,38,27,,,,,,,,,,,,,,,,0.00,,,
1971-3-24,40,32,24,,,,,,,,,,,,,,,,0.00,,,
1971-3-25,37,28,20,,,,,,,,,,,,,,,,0.00,,,
1971-3-26,44,30,16,,,,,,,,,,,,,,,,0.00,,,
1971-3-27,39,29,19,,,,,,,,,,,,,,,,0.00,,,
1971-3-28,38,34,30,,,,,,,,,,,,,,,,0.00,,,
1971-3-29,43,34,25,,,,,,,,,,,,,,,,0.00,,,
1971-3-30,52,42,31,,,,,,,,,,,,,,,,0.00,,,
1971-3-31,50,40,29,,,,,,,,,,,,,,,,0.00,,,
1971-4-1,42,34,25,,,,,,,,,,,,,,,,0.00,,,
1971-4-2,54,45,36,,,,,,,,,,,,,,,,0.00,,,
1971-4-3,63,54,44,,,,,,,,,,,,,,,,0.22,,,
1971-4-4,52,38,24,,,,,,,,,,,,,,,,0.10,,,
1971-4-5,61,44,26,,,,,,,,,,,,,,,,0.00,,,
1971-4-6,43,38,34,,,,,,,,,,,,,,,,0.00,,,
1971-4-7,44,38,33,,,,,,,,,,,,,,,,1.18,,,
1971-4-8,46,38,29,,,,,,,,,,,,,,,,0.03,,,
1971-4-9,48,34,21,,,,,,,,,,,,,,,,0.00,,,
1971-4-10,56,46,36,,,,,,,,,,,,,,,,0.00,,,
1971-4-11,67,52,37,,,,,,,,,,,,,,,,0.01,,,
1971-4-12,41,36,32,,,,,,,,,,,,,,,,0.16,,,
1971-4-13,50,39,28,,,,,,,,,,,,,,,,0.00,,,
1971-4-14,67,56,44,,,,,,,,,,,,,,,,0.04,,,
1971-4-15,56,42,29,,,,,,,,,,,,,,,,0.00,,,
1971-4-16,50,40,29,,,,,,,,,,,,,,,,0.00,,,
1971-4-17,47,38,29,,,,,,,,,,,,,,,,0.11,,,
1971-4-18,48,37,26,,,,,,,,,,,,,,,,0.00,,,
1971-4-19,46,42,37,,,,,,,,,,,,,,,,0.14,,,
1971-4-20,54,46,39,,,,,,,,,,,,,,,,0.00,,,
1971-4-21,55,44,34,,,,,,,,,,,,,,,,0.00,,,
1971-4-22,61,49,37,,,,,,,,,,,,,,,,0.00,,,
1971-4-23,55,47,39,,,,,,,,,,,,,,,,0.00,,,
1971-4-24,58,42,25,,,,,,,,,,,,,,,,0.00,,,
1971-4-25,64,48,32,,,,,,,,,,,,,,,,0.44,,,
1971-4-26,50,42,35,,,,,,,,,,,,,,,,0.00,,,
1971-4-27,51,44,38,,,,,,,,,,,,,,,,0.07,,,
1971-4-28,51,40,30,,,,,,,,,,,,,,,,0.00,,,
1971-4-29,55,47,39,,,,,,,,,,,,,,,,0.48,,,
1971-4-30,42,38,33,,,,,,,,,,,,,,,,0.53,,,
1971-5-1,54,42,31,,,,,,,,,,,,,,,,0.00,,,
1971-5-2,61,48,34,,,,,,,,,,,,,,,,0.00,,,
1971-5-3,65,51,37,,,,,,,,,,,,,,,,0.30,,,
1971-5-4,54,48,42,,,,,,,,,,,,,,,,0.76,,,
1971-5-5,53,48,43,,,,,,,,,,,,,,,,0.00,,,
1971-5-6,69,58,48,,,,,,,,,,,,,,,,0.00,,,
1971-5-7,62,48,34,,,,,,,,,,,,,,,,0.00,,,
1971-5-8,69,57,45,,,,,,,,,,,,,,,,0.00,,,
1971-5-9,62,52,43,,,,,,,,,,,,,,,,0.63,,,
1971-5-10,46,44,43,,,,,,,,,,,,,,,,0.51,,,
1971-5-11,52,44,35,,,,,,,,,,,,,,,,0.50,,,
1971-5-12,76,62,47,,,,,,,,,,,,,,,,0.00,,,
1971-5-13,75,65,55,,,,,,,,,,,,,,,,0.00,,,
1971-5-14,66,58,50,,,,,,,,,,,,,,,,0.44,,,
1971-5-15,72,52,33,,,,,,,,,,,,,,,,0.00,,,
1971-5-16,67,54,42,,,,,,,,,,,,,,,,0.00,,,
1971-5-17,52,48,45,,,,,,,,,,,,,,,,1.34,,,
1971-5-18,67,54,40,,,,,,,,,,,,,,,,0.00,,,
1971-5-19,64,52,40,,,,,,,,,,,,,,,,0.00,,,
1971-5-20,69,58,46,,,,,,,,,,,,,,,,0.00,,,
1971-5-21,64,56,49,,,,,,,,,,,,,,,,0.06,,,
1971-5-22,58,54,50,,,,,,,,,,,,,,,,0.03,,,
1971-5-23,62,52,42,,,,,,,,,,,,,,,,0.08,,,
1971-5-24,67,54,40,,,,,,,,,,,,,,,,0.00,,,
1971-5-25,72,61,50,,,,,,,,,,,,,,,,0.03,,,
1971-5-26,73,64,56,,,,,,,,,,,,,,,,0.00,,,
1971-5-27,78,60,43,,,,,,,,,,,,,,,,0.00,,,
1971-5-28,69,57,45,,,,,,,,,,,,,,,,0.03,,,
1971-5-29,66,52,39,,,,,,,,,,,,,,,,0.00,,,
1971-5-30,71,58,45,,,,,,,,,,,,,,,,0.05,,,
1971-5-31,55,52,50,,,,,,,,,,,,,,,,0.92,,,
1971-6-1,63,57,51,,,,,,,,,,,,,,,,0.00,,,
1971-6-2,68,57,46,,,,,,,,,,,,,,,,0.00,,,
1971-6-3,76,64,51,,,,,,,,,,,,,,,,0.18,,,
1971-6-4,70,64,58,,,,,,,,,,,,,,,,0.00,,,
1971-6-5,82,68,55,,,,,,,,,,,,,,,,0.00,,,
1971-6-6,75,55,35,,,,,,,,,,,,,,,,0.00,,,
1971-6-7,76,63,50,,,,,,,,,,,,,,,,0.00,,,
1971-6-8,85,73,61,,,,,,,,,,,,,,,,0.00,,,
1971-6-9,91,74,56,,,,,,,,,,,,,,,,0.46,,,
1971-6-10,72,59,46,,,,,,,,,,,,,,,,0.00,,,
1971-6-11,72,56,41,,,,,,,,,,,,,,,,0.00,,,
1971-6-12,77,63,49,,,,,,,,,,,,,,,,0.00,,,
1971-6-13,84,70,57,,,,,,,,,,,,,,,,0.04,,,
1971-6-14,75,64,53,,,,,,,,,,,,,,,,0.00,,,
1971-6-15,65,54,42,,,,,,,,,,,,,,,,0.00,,,
1971-6-16,67,56,46,,,,,,,,,,,,,,,,0.00,,,
1971-6-17,75,63,51,,,,,,,,,,,,,,,,0.00,,,
1971-6-18,84,70,55,,,,,,,,,,,,,,,,0.00,,,
1971-6-19,88,72,55,,,,,,,,,,,,,,,,0.00,,,
1971-6-20,83,72,60,,,,,,,,,,,,,,,,0.00,,,
1971-6-21,83,73,63,,,,,,,,,,,,,,,,0.00,,,
1971-6-22,84,74,64,,,,,,,,,,,,,,,,0.00,,,
1971-6-23,78,68,58,,,,,,,,,,,,,,,,0.00,,,
1971-6-24,68,62,57,,,,,,,,,,,,,,,,0.00,,,
1971-6-25,88,72,57,,,,,,,,,,,,,,,,0.00,,,
1971-6-26,86,75,64,,,,,,,,,,,,,,,,0.00,,,
1971-6-27,85,68,50,,,,,,,,,,,,,,,,0.00,,,
1971-6-28,85,71,57,,,,,,,,,,,,,,,,0.00,,,
1971-6-29,73,58,44,,,,,,,,,,,,,,,,0.00,,,
1971-6-30,75,66,56,,,,,,,,,,,,,,,,0.00,,,
1971-7-1,91,80,69,,,,,,,,,,,,,,,,0.00,,,
1971-7-2,86,76,66,,,,,,,,,,,,,,,,0.20,,,
1971-7-3,78,66,54,,,,,,,,,,,,,,,,0.00,,,
1971-7-4,75,62,50,,,,,,,,,,,,,,,,0.00,,,
1971-7-5,82,70,59,,,,,,,,,,,,,,,,0.00,,,
1971-7-6,82,72,61,,,,,,,,,,,,,,,,0.00,,,
1971-7-7,88,77,66,,,,,,,,,,,,,,,,0.00,,,
1971-7-8,89,74,59,,,,,,,,,,,,,,,,0.00,,,
1971-7-9,91,76,60,,,,,,,,,,,,,,,,0.00,,,
1971-7-10,92,79,66,,,,,,,,,,,,,,,,0.00,,,
1971-7-11,89,73,57,,,,,,,,,,,,,,,,0.00,,,
1971-7-12,78,68,58,,,,,,,,,,,,,,,,0.00,,,
1971-7-13,78,66,53,,,,,,,,,,,,,,,,0.00,,,
1971-7-14,80,70,61,,,,,,,,,,,,,,,,0.40,,,
1971-7-15,83,70,57,,,,,,,,,,,,,,,,0.00,,,
1971-7-16,82,71,60,,,,,,,,,,,,,,,,0.00,,,
1971-7-17,86,76,65,,,,,,,,,,,,,,,,0.00,,,
1971-7-18,83,70,57,,,,,,,,,,,,,,,,0.25,,,
1971-7-19,81,66,52,,,,,,,,,,,,,,,,0.00,,,
1971-7-20,78,68,59,,,,,,,,,,,,,,,,1.60,,,
1971-7-21,76,68,60,,,,,,,,,,,,,,,,0.00,,,
1971-7-22,80,69,58,,,,,,,,,,,,,,,,0.00,,,
1971-7-23,81,66,52,,,,,,,,,,,,,,,,0.00,,,
1971-7-24,83,72,60,,,,,,,,,,,,,,,,0.00,,,
1971-7-25,82,74,66,,,,,,,,,,,,,,,,0.00,,,
1971-7-26,80,72,63,,,,,,,,,,,,,,,,0.00,,,
1971-7-27,84,76,69,,,,,,,,,,,,,,,,0.00,,,
1971-7-28,84,72,60,,,,,,,,,,,,,,,,0.06,,,
1971-7-29,78,69,60,,,,,,,,,,,,,,,,0.00,,,
1971-7-30,85,76,67,,,,,,,,,,,,,,,,0.37,,,
1971-7-31,82,76,70,,,,,,,,,,,,,,,,0.11,,,
