EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2006-1-1,36,33,29,34,31,27,96,91,85,30.14,30.00,29.79,6,3,1,8,3,9,0.01,8,Snow,239
2006-1-2,38,36,34,36,33,31,92,87,82,30.16,30.03,29.91,10,8,5,16,9,20,0.08,8,Rain,95
2006-1-3,39,38,36,34,34,32,92,86,79,30.07,29.99,29.90,10,9,6,15,9,18,0.01,8,Rain-Snow,84
2006-1-4,43,37,31,39,34,28,96,88,79,30.02,29.81,29.58,10,9,5,13,7,15,0.07,7,Rain,146
2006-1-5,42,37,32,40,32,25,89,79,69,29.79,29.64,29.55,10,10,8,25,12,29,0.06,8,Rain-Snow,266
2006-1-6,32,26,20,25,19,13,84,76,68,29.93,29.87,29.80,9,5,1,17,10,22,0.02,8,Snow,295
2006-1-7,32,25,17,26,20,12,81,72,63,29.90,29.83,29.75,10,7,1,18,9,22,0.01,7,Snow,192
2006-1-8,39,35,31,28,27,24,85,72,59,30.03,29.89,29.75,10,9,2,15,9,17,0.01,8,Snow,197
2006-1-9,48,43,37,36,31,27,85,69,53,30.32,29.95,29.64,10,9,6,28,13,44,T,8,Rain-Snow,240
2006-1-10,41,37,32,31,27,25,82,68,54,30.49,30.37,30.20,10,10,9,16,7,20,T,7,Rain-Snow,227
2006-1-11,59,48,36,47,38,29,92,74,55,30.18,29.90,29.76,10,8,2,35,11,41,0.31,8,Rain,215
2006-1-12,54,45,35,36,34,30,89,70,50,29.93,29.89,29.86,10,10,10,25,9,32,0.00,4,,214
2006-1-13,63,51,39,43,34,26,70,57,43,29.85,29.66,29.42,10,10,10,17,7,22,0.00,6,,180
2006-1-14,52,37,21,46,33,13,100,82,63,29.87,29.53,29.26,10,5,0,26,14,33,0.59,7,Fog-Rain-Snow,313
2006-1-15,21,17,12,12,8,4,77,72,67,30.06,30.00,29.89,10,7,1,22,12,26,0.01,6,Snow,314
2006-1-16,22,15,8,14,9,5,87,75,62,30.08,30.03,29.99,10,8,2,10,5,12,T,6,Snow,27
2006-1-17,42,29,16,36,22,10,79,66,52,30.05,29.84,29.55,10,10,6,25,13,33,0.16,7,Rain,129
2006-1-18,47,38,29,43,30,18,92,81,69,29.95,29.58,29.26,10,5,0,39,20,47,0.34,8,Fog-Rain-Snow,235
2006-1-19,42,36,29,28,24,17,78,63,48,30.19,30.07,29.96,10,10,10,32,9,41,T,5,,203
2006-1-20,56,49,41,43,37,27,82,64,45,30.08,29.99,29.92,10,10,7,24,11,33,T,8,Rain,218
2006-1-21,56,43,29,41,30,19,89,72,55,30.57,30.13,29.69,10,9,2,31,13,41,T,6,Rain-Snow,282
2006-1-22,40,33,25,24,22,20,81,65,48,30.67,30.55,30.28,10,10,10,14,6,17,0.00,6,,133
2006-1-23,43,38,32,33,27,22,82,66,49,30.24,30.04,29.96,10,10,8,17,8,21,T,6,,243
2006-1-24,44,36,27,34,26,18,89,63,36,29.95,29.65,29.47,10,10,6,26,14,32,0.03,6,Rain-Snow,222
2006-1-25,38,31,23,31,26,17,89,82,74,30.08,29.73,29.48,10,3,0,25,15,32,0.15,8,Fog-Rain-Snow,280
2006-1-26,23,18,13,16,11,8,84,71,57,30.59,30.36,30.10,10,6,2,23,12,28,0.03,4,Snow,279
2006-1-27,41,26,11,26,17,8,84,64,44,30.59,30.46,30.23,10,10,10,16,8,21,0.00,2,,213
2006-1-28,50,43,35,32,27,17,75,58,40,30.23,30.18,30.09,10,10,10,24,12,29,T,3,Rain,244
2006-1-29,51,44,37,44,36,30,89,76,62,30.05,29.71,29.48,10,9,3,21,10,25,0.53,8,Rain,131
2006-1-30,54,46,38,43,37,31,85,63,41,29.71,29.66,29.55,10,10,7,25,10,31,T,7,,239
2006-1-31,41,37,33,34,30,24,85,75,64,29.94,29.80,29.67,10,9,6,21,11,23,T,8,Snow,269
2006-2-1,38,34,29,26,24,20,81,67,52,30.00,29.92,29.82,10,10,9,17,8,22,T,8,Snow,210
2006-2-2,54,46,37,38,30,25,82,63,44,29.87,29.80,29.71,10,10,5,21,8,29,0.08,7,Rain,183
2006-2-3,46,41,35,40,37,32,89,80,70,29.88,29.61,29.44,10,7,2,31,11,39,0.19,7,Rain,191
2006-2-4,46,38,30,39,36,28,93,79,65,29.91,29.50,29.18,10,5,2,23,9,29,0.51,7,Rain,68
2006-2-5,45,36,27,41,27,17,96,74,51,29.44,29.26,29.13,10,6,0,41,23,52,0.03,8,Fog-Rain-Snow,227
2006-2-6,31,28,25,23,19,13,88,71,53,29.80,29.63,29.46,10,4,0,35,22,44,0.19,8,Fog-Snow,257
2006-2-7,28,26,24,22,20,18,88,79,69,30.06,29.94,29.78,10,5,1,16,8,21,0.06,8,Snow,291
2006-2-8,25,21,16,20,15,10,84,73,62,30.11,30.08,30.04,10,6,2,13,8,16,0.04,7,Snow,288
2006-2-9,26,18,10,19,14,6,92,74,55,30.11,30.04,29.99,10,6,0,28,10,35,0.07,7,Snow,264
2006-2-10,24,21,17,20,16,10,92,83,73,30.14,30.08,30.02,8,3,1,12,5,14,0.07,8,Snow,91
2006-2-11,32,24,16,21,18,14,96,78,59,30.15,30.08,29.94,10,6,1,15,5,17,T,7,,79
2006-2-12,27,21,15,20,15,5,85,71,57,29.91,29.83,29.78,10,8,2,18,10,20,T,6,Snow,333
2006-2-13,31,24,16,24,18,9,85,66,47,29.85,29.79,29.75,10,6,0,26,15,35,0.04,8,Fog-Snow,242
2006-2-14,38,32,26,27,24,21,92,74,56,29.96,29.89,29.80,10,5,1,17,9,21,0.05,8,Snow,202
2006-2-15,50,42,33,30,27,24,82,62,42,30.24,30.07,29.94,10,10,10,25,13,32,0.00,6,,222
2006-2-16,55,46,37,40,34,31,92,84,76,30.26,30.05,29.67,10,6,2,20,8,26,0.13,8,Rain,62
2006-2-17,60,42,24,48,23,10,83,65,46,30.30,29.94,29.48,10,8,1,55,23,77,0.02,7,Rain-Snow,253
2006-2-18,27,20,12,14,5,-6,84,62,40,30.38,30.28,30.12,10,5,0,33,18,41,0.03,7,Snow,285
2006-2-19,22,16,9,14,7,-4,73,59,44,30.40,30.28,30.17,10,8,2,30,17,37,T,5,Snow,242
2006-2-20,28,21,14,15,11,5,80,66,52,30.17,30.07,29.96,10,10,6,29,13,35,T,4,Snow,234
2006-2-21,34,28,22,27,21,14,88,72,56,30.03,29.89,29.83,10,4,0,29,12,35,0.07,7,Fog-Snow,227
2006-2-22,46,32,18,24,20,16,91,64,37,30.02,29.92,29.85,10,9,6,18,8,22,0.00,5,,216
2006-2-23,41,36,30,32,29,16,96,74,51,29.90,29.83,29.78,10,4,1,25,10,32,0.16,7,Rain-Snow,244
2006-2-24,31,27,22,19,14,7,81,60,39,30.36,30.19,29.91,10,8,2,32,15,43,0.02,6,Snow,277
2006-2-25,43,32,21,30,20,13,88,71,54,30.27,30.00,29.71,10,4,0,36,14,44,0.15,8,Fog-Rain-Snow,286
2006-2-26,21,18,14,18,8,0,84,64,43,30.36,30.27,30.17,10,4,1,22,13,29,0.01,7,Snow,320
2006-2-27,26,16,6,19,11,1,84,65,46,30.17,30.00,29.85,10,6,0,18,7,23,0.14,7,Fog-Snow,280
2006-2-28,25,15,5,14,9,2,83,65,46,29.96,29.91,29.83,10,6,0,29,14,36,0.07,7,Snow,266
2006-3-1,30,25,20,18,14,10,78,61,43,30.00,29.92,29.84,10,7,2,21,10,28,0.04,5,Snow,278
2006-3-2,29,24,18,21,17,12,84,71,57,29.97,29.77,29.62,10,10,7,18,6,21,T,7,Snow,279
2006-3-3,27,22,17,16,9,6,67,58,48,30.15,30.10,30.00,10,9,2,24,15,31,T,6,Snow,315
2006-3-4,37,30,23,20,16,12,68,56,44,30.21,30.14,30.09,10,10,8,25,16,32,T,4,Snow,290
2006-3-5,40,31,22,21,15,8,77,52,27,30.25,30.20,30.15,10,10,10,22,12,31,0.00,1,,271
2006-3-6,35,28,20,18,16,13,84,63,41,30.18,30.13,30.09,10,10,10,14,6,16,0.00,5,,302
