EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-1-1,37,30,23,25,19,7,70,57,49,29.94,29.83,29.77,10,10,10,17,9,26,0.00,2,,286
2013-1-2,28,23,18,13,10,6,68,57,51,30.09,29.99,29.93,10,10,10,18,11,25,0.00,0,,304
2013-1-3,26,18,10,14,4,-4,65,52,28,30.14,30.08,30.02,10,10,10,13,9,25,0.00,2,,302
2013-1-4,37,32,26,23,20,14,69,61,52,30.01,29.94,29.86,10,10,10,9,6,25,0.00,0,,265
2013-1-5,41,33,25,23,20,18,75,59,47,30.26,30.13,29.91,10,10,10,13,6,20,0.00,1,,278
2013-1-6,41,34,28,34,29,20,93,80,65,30.22,30.06,29.95,10,7,2,8,2,16,0.00,5,Snow,233
2013-1-7,41,36,30,29,26,21,88,70,47,30.40,30.22,29.99,10,10,8,12,6,20,0.00,0,,332
2013-1-8,46,36,27,36,31,25,92,74,54,30.40,30.36,30.31,10,10,8,14,4,26,0.00,0,,226
2013-1-9,45,36,26,39,31,25,100,88,63,30.39,30.29,30.05,10,4,0,13,2,24,0.00,1,Fog-Rain,211
2013-1-10,46,40,34,30,25,23,67,53,40,30.51,30.35,30.11,10,10,10,17,11,30,0.00,0,,299
2013-1-11,42,36,30,40,31,21,93,80,64,30.51,30.36,30.19,10,9,5,10,5,,0.09,4,Rain,86
2013-1-12,45,42,39,43,41,39,100,97,93,30.18,30.15,30.11,10,3,0,10,5,17,0.00,8,Fog-Rain,72
2013-1-13,50,45,42,49,45,42,100,98,93,30.16,30.11,30.04,10,2,0,9,3,,0.00,8,Fog,189
2013-1-14,57,50,39,52,45,31,100,85,50,30.24,30.05,29.97,10,5,0,12,8,29,0.01,6,Fog-Rain,266
2013-1-15,39,37,35,34,30,27,93,75,63,30.30,30.25,30.20,10,10,9,10,5,,0.07,6,Rain,351
2013-1-16,36,34,32,35,32,27,100,93,70,30.23,30.00,29.75,10,4,1,10,5,16,0.12,8,Rain-Snow,13
2013-1-17,42,38,33,32,27,20,92,68,51,30.07,29.98,29.88,10,10,9,14,7,21,0.00,3,Snow,299
2013-1-18,32,26,21,22,8,-2,84,50,30,30.48,30.26,30.01,10,8,1,18,11,32,0.00,3,Snow,341
2013-1-19,45,36,26,36,29,11,74,64,53,30.39,30.17,29.94,10,10,10,18,11,38,0.00,1,,213
2013-1-20,53,42,30,38,28,10,76,56,29,29.94,29.78,29.61,10,10,10,17,12,28,0.00,0,,241
2013-1-21,28,26,23,25,18,6,100,75,41,30.11,29.92,29.78,10,5,1,13,8,24,0.01,6,Snow,9
2013-1-22,25,20,14,23,9,-5,96,62,30,30.09,29.87,29.75,10,9,1,21,9,32,0.01,4,Snow,304
2013-1-23,16,12,9,-3,-6,-10,53,45,37,30.17,30.13,30.08,10,10,10,18,14,30,0.00,1,,295
2013-1-24,19,12,6,-4,-6,-8,58,44,31,30.25,30.14,30.08,10,10,10,21,15,31,0.00,0,,308
2013-1-25,24,17,10,16,1,-7,93,52,29,30.33,30.18,30.04,10,7,1,16,10,26,0.00,4,Snow,304
2013-1-26,25,20,14,16,8,-3,93,68,37,30.25,30.05,29.99,10,9,2,20,9,30,0.00,4,Snow,337
2013-1-27,30,22,14,4,2,0,64,44,31,30.47,30.38,30.27,10,10,10,18,13,24,0.00,0,,310
2013-1-28,33,26,18,32,22,3,100,78,32,30.46,30.20,29.99,10,4,0,7,2,,0.05,7,Fog-Rain-Snow,133
2013-1-29,35,32,30,34,31,28,100,95,87,30.18,30.10,29.99,6,3,0,9,5,,0.00,8,Fog-Rain,11
2013-1-30,55,45,35,54,47,35,100,95,89,30.14,29.86,29.53,9,4,1,22,11,38,0.00,8,,169
2013-1-31,55,44,32,54,40,9,100,75,34,29.64,29.28,29.07,10,6,2,32,20,45,0.51,6,Rain,214
2013-2-1,30,26,21,14,8,3,51,44,35,30.12,29.85,29.65,10,10,10,16,10,31,0.00,1,,286
2013-2-2,28,24,19,17,11,5,63,54,43,30.27,30.15,30.06,10,10,9,13,9,23,0.00,3,,251
2013-2-3,32,26,21,21,19,15,81,73,56,30.06,29.86,29.73,10,9,2,13,7,17,0.00,5,Snow,340
2013-2-4,30,27,24,16,9,5,69,49,36,29.96,29.84,29.74,10,10,10,17,10,25,0.00,2,,285
2013-2-5,26,24,21,24,17,4,92,74,41,30.02,29.96,29.92,10,6,2,7,4,,0.00,8,Snow,40
2013-2-6,39,32,26,28,21,4,93,73,36,30.30,30.02,29.91,10,8,2,14,5,23,0.00,5,Snow,313
2013-2-7,30,24,19,14,7,3,65,47,32,30.51,30.45,30.30,10,10,10,15,9,22,0.00,1,,6
2013-2-8,33,29,25,32,27,16,100,86,69,30.43,30.01,29.37,10,4,0,41,15,58,0.24,7,Fog-Snow,65
2013-2-9,17,17,17,7,7,6,65,64,62,30.19,30.16,30.13,10,9,7,23,21,31,0.00,0,,320
2013-2-10,33,24,15,20,10,2,88,60,37,30.39,30.34,30.20,10,10,10,17,9,26,0.00,0,,308
2013-2-11,45,32,19,45,37,14,100,92,72,30.35,29.94,29.62,10,4,0,18,8,30,0.29,6,Fog-Rain,175
2013-2-12,43,36,30,41,30,23,96,71,49,29.90,29.74,29.63,10,10,10,16,8,24,0.00,3,,286
2013-2-13,39,34,30,27,23,20,82,65,50,29.89,29.81,29.67,10,10,10,9,6,,0.00,1,,253
2013-2-14,41,34,28,30,27,18,100,79,40,30.01,29.82,29.69,10,6,0,10,5,16,0.10,3,Fog-Snow,330
2013-2-15,45,39,33,37,34,29,100,87,68,30.04,29.99,29.94,10,6,0,14,5,23,0.00,1,Fog,188
2013-2-16,36,34,30,36,30,21,100,89,67,29.94,29.83,29.65,10,5,0,13,7,22,0.00,8,Fog-Snow,356
2013-2-17,30,24,18,24,12,2,93,65,37,29.69,29.49,29.39,10,4,0,28,20,45,0.00,5,Fog-Snow,318
2013-2-18,30,23,16,5,1,-1,54,40,28,30.20,30.01,29.74,10,10,9,23,17,34,0.00,0,,289
2013-2-19,46,36,25,45,35,6,100,84,41,30.19,29.84,29.60,10,8,2,15,6,23,0.40,5,Rain,185
2013-2-20,42,34,26,40,21,8,96,62,41,29.83,29.68,29.58,10,10,10,18,8,29,0.00,4,,286
2013-2-21,33,28,24,17,13,10,63,53,43,30.18,29.91,29.81,10,10,10,20,13,30,0.00,2,,305
2013-2-22,39,33,27,25,21,17,75,64,53,30.36,30.32,30.21,10,10,10,14,9,22,0.00,7,,360
2013-2-23,37,34,32,36,31,24,100,85,73,30.31,30.09,29.83,10,7,2,13,7,21,0.13,8,Rain-Snow,92
2013-2-24,39,36,32,38,34,30,100,94,87,29.87,29.72,29.62,10,4,1,17,12,26,0.23,8,Rain-Snow,350
2013-2-25,41,36,30,30,29,27,93,79,57,30.24,30.05,29.89,10,9,2,13,8,17,0.00,7,Snow,346
2013-2-26,41,38,34,33,29,25,89,75,55,30.32,30.24,30.10,10,10,10,13,5,20,0.00,5,Rain,105
2013-2-27,43,40,37,43,39,34,100,92,86,30.09,29.73,29.56,10,3,0,29,16,54,0.46,8,Fog-Rain,87
